"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","21,460","21,510","21,590","21,405","-","0,23%"
"09.12.2021","21,410","21,720","21,770","21,360","629,48K","-1,38%"
"08.12.2021","21,710","21,950","22,050","21,410","1,62M","-1,41%"
"07.12.2021","22,020","22,140","22,340","22,020","867,94K","0,87%"
"06.12.2021","21,830","21,550","21,950","21,360","495,96K","2,25%"
"03.12.2021","21,350","21,640","21,790","21,260","856,68K","-0,65%"
"02.12.2021","21,490","21,270","21,570","21,140","642,76K","-0,74%"
"01.12.2021","21,650","21,340","21,960","21,290","799,34K","2,07%"
"30.11.2021","21,210","21,300","21,580","21,020","1,60M","-1,53%"
"29.11.2021","21,540","21,240","21,590","21,030","1,10M","2,47%"
"26.11.2021","21,020","21,790","21,790","20,980","1,66M","-6,16%"
"25.11.2021","22,400","22,300","22,480","22,080","628,94K","0,40%"
"24.11.2021","22,310","22,320","22,460","22,090","619,06K","0,18%"
"23.11.2021","22,270","21,700","22,380","21,510","707,16K","1,78%"
"22.11.2021","21,880","21,870","22,060","21,390","1,00M","0,69%"
"19.11.2021","21,730","22,510","22,590","21,670","1,28M","-3,21%"
"18.11.2021","22,450","22,900","22,900","22,400","652,19K","-1,75%"
"17.11.2021","22,850","23,100","23,190","22,780","1,61M","-1,17%"
"16.11.2021","23,120","23,440","23,510","23,120","575,18K","-1,45%"
"15.11.2021","23,460","23,110","23,540","23,050","682,75K","1,21%"
"12.11.2021","23,180","23,610","23,610","22,750","555,62K","0,48%"
"11.11.2021","23,070","23,330","23,600","23,030","1,17M","-1,24%"
"10.11.2021","23,360","23,200","23,550","23,200","561,71K","0,65%"
"09.11.2021","23,210","23,140","23,460","23,140","567,54K","0,39%"
"08.11.2021","23,120","23,270","23,370","22,950","811,87K","-0,82%"
"05.11.2021","23,310","22,220","23,350","22,150","1,09M","4,72%"
"04.11.2021","22,260","22,670","22,910","22,260","2,47M","-1,02%"
"03.11.2021","22,490","22,700","22,830","22,350","664,75K","-1,01%"
"02.11.2021","22,720","23,000","23,030","22,720","576,04K","-1,30%"
"01.11.2021","23,020","22,850","23,200","22,800","561,23K","1,72%"
"29.10.2021","22,630","22,730","22,750","22,510","605,25K","0,00%"
"28.10.2021","22,630","22,670","22,760","22,350","2,10M","-0,31%"
"27.10.2021","22,700","23,030","23,240","22,660","655,82K","-1,26%"
"26.10.2021","22,990","23,030","23,180","22,880","1,05M","0,83%"
"25.10.2021","22,800","22,990","23,000","22,550","845,56K","-1,13%"
"22.10.2021","23,060","23,180","23,310","22,940","663,62K","0,04%"
"21.10.2021","23,050","22,910","23,290","22,760","948,26K","0,22%"
"20.10.2021","23,000","22,580","23,010","22,520","1,20M","1,77%"
"19.10.2021","22,600","22,470","22,680","22,400","554,43K","0,85%"
"18.10.2021","22,410","22,730","22,790","22,340","689,13K","-1,41%"
"15.10.2021","22,730","22,500","22,770","22,390","1,02M","1,97%"
"14.10.2021","22,290","22,520","22,640","22,220","1,34M","-0,04%"
"13.10.2021","22,300","22,440","22,440","22,220","577,32K","-0,67%"
"12.10.2021","22,450","22,380","22,520","22,260","1,83M","-0,31%"
"11.10.2021","22,520","22,670","22,800","22,440","1,19M","-1,05%"
"08.10.2021","22,760","22,710","22,850","22,620","596,40K","0,13%"
"07.10.2021","22,730","22,570","22,890","22,500","670,04K","1,43%"
"06.10.2021","22,410","22,610","22,630","22,080","1,04M","-1,84%"
"05.10.2021","22,830","23,200","23,200","22,570","1,15M","-1,38%"
"04.10.2021","23,150","23,250","23,450","23,150","873,66K","-0,39%"
"01.10.2021","23,240","23,100","23,430","22,880","928,35K","-0,90%"
"30.09.2021","23,450","23,880","23,980","23,360","947,95K","-0,72%"
"29.09.2021","23,620","23,500","23,780","23,400","872,64K","0,55%"
"28.09.2021","23,490","23,950","24,320","23,440","1,74M","-1,96%"
"27.09.2021","23,960","23,690","24,270","23,620","908,77K","2,22%"
"24.09.2021","23,440","23,400","23,610","23,400","759,52K","-0,09%"
"23.09.2021","23,460","23,450","23,670","23,360","450,82K","0,60%"
"22.09.2021","23,320","22,870","23,490","22,870","573,57K","2,78%"
"21.09.2021","22,690","22,620","23,100","22,580","591,82K","0,75%"
"20.09.2021","22,520","22,570","22,610","21,950","1,17M","-1,23%"
"17.09.2021","22,800","23,270","23,320","22,800","1,41M","-1,43%"
"16.09.2021","23,130","22,930","23,330","22,930","948,98K","1,14%"
"15.09.2021","22,870","23,340","23,390","22,840","571,03K","-2,06%"
"14.09.2021","23,350","23,490","23,670","23,220","488,63K","-0,21%"
"13.09.2021","23,400","22,690","23,530","22,670","621,28K","4,00%"
"10.09.2021","22,500","22,910","22,980","22,310","765,59K","-1,79%"
"09.09.2021","22,910","23,240","23,240","22,770","615,19K","-1,88%"
"08.09.2021","23,350","23,260","23,630","23,110","591,27K","-0,21%"
"07.09.2021","23,400","23,320","23,460","23,230","734,86K","0,52%"
"06.09.2021","23,280","23,340","23,500","23,230","302,74K","0,04%"
"03.09.2021","23,270","23,430","23,690","23,250","547,63K","-0,81%"
"02.09.2021","23,460","23,450","23,640","23,400","459,26K","-0,21%"
"01.09.2021","23,510","22,980","23,660","22,980","528,06K","2,84%"
"31.08.2021","22,860","22,850","23,060","22,700","898,31K","0,04%"
"30.08.2021","22,850","23,080","23,160","22,850","373,26K","-0,78%"
