"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","25,775","26,133","26,335","25,727","-","-0,04%"
"09.12.2021","25,785","26,035","26,450","25,560","301,31K","-1,73%"
"08.12.2021","26,240","26,295","26,650","26,065","394,86K","-0,36%"
"07.12.2021","26,335","25,545","26,395","25,545","595,25K","5,30%"
"06.12.2021","25,010","24,730","25,230","24,455","367,35K","2,17%"
"03.12.2021","24,480","25,150","25,190","24,265","346,27K","-1,51%"
"02.12.2021","24,855","24,050","24,950","24,035","539,20K","0,67%"
"01.12.2021","24,690","24,215","24,850","24,135","480,99K","2,98%"
"30.11.2021","23,975","24,000","24,430","23,300","785,16K","-2,14%"
"29.11.2021","24,500","24,900","25,330","24,365","833,83K","1,01%"
"26.11.2021","24,255","24,810","24,990","24,215","1,24M","-7,10%"
"25.11.2021","26,110","26,340","26,450","25,740","502,00K","-1,02%"
"24.11.2021","26,380","26,895","27,490","26,250","584,90K","-2,19%"
"23.11.2021","26,970","26,790","27,370","26,450","376,29K","-0,02%"
"22.11.2021","26,975","26,725","27,150","26,665","412,12K","1,98%"
"19.11.2021","26,450","27,365","27,650","26,280","525,44K","-2,61%"
"18.11.2021","27,160","27,050","27,715","26,615","463,80K","-0,42%"
"17.11.2021","27,275","26,855","27,400","26,605","377,74K","1,26%"
"16.11.2021","26,935","26,925","27,105","26,760","314,47K","0,07%"
"15.11.2021","26,915","27,460","27,475","26,780","577,41K","-2,59%"
"12.11.2021","27,630","28,470","28,480","27,385","859,42K","-3,04%"
"11.11.2021","28,495","27,730","28,590","27,640","994,81K","4,19%"
"10.11.2021","27,350","27,700","27,870","26,795","735,22K","-1,35%"
"09.11.2021","27,725","28,580","28,960","27,725","587,83K","-3,92%"
"08.11.2021","28,855","28,030","29,020","27,975","415,57K","3,24%"
"05.11.2021","27,950","28,330","28,420","27,595","639,52K","-1,64%"
"04.11.2021","28,415","28,870","28,980","28,305","349,12K","-0,56%"
"03.11.2021","28,575","29,010","29,250","28,575","474,88K","-0,61%"
"02.11.2021","28,750","29,410","29,410","28,515","885,79K","-3,85%"
"01.11.2021","29,900","29,690","30,145","29,620","592,25K","1,91%"
"29.10.2021","29,340","28,735","29,340","28,670","482,43K","1,35%"
"28.10.2021","28,950","28,870","29,055","28,620","239,97K","-0,63%"
"27.10.2021","29,135","29,000","29,580","28,445","548,35K","-0,31%"
"26.10.2021","29,225","28,600","29,385","28,555","647,22K","2,90%"
"25.10.2021","28,400","27,450","28,465","27,450","579,20K","4,35%"
"22.10.2021","27,215","27,235","27,695","27,130","290,10K","0,91%"
"21.10.2021","26,970","27,975","27,975","26,970","486,66K","-3,92%"
"20.10.2021","28,070","27,430","28,100","27,335","406,15K","1,13%"
"19.10.2021","27,755","28,080","28,185","27,610","315,43K","0,33%"
"18.10.2021","27,665","27,850","28,160","27,405","499,66K","-0,13%"
"15.10.2021","27,700","27,700","27,950","27,355","461,35K","0,97%"
"14.10.2021","27,435","27,120","27,660","26,895","678,38K","3,18%"
"13.10.2021","26,590","26,350","26,815","26,100","494,56K","0,70%"
"12.10.2021","26,405","25,695","26,410","25,405","591,86K","0,67%"
"11.10.2021","26,230","25,180","26,440","25,180","1,00M","4,34%"
"08.10.2021","25,140","25,105","25,520","24,930","388,06K","-0,38%"
"07.10.2021","25,235","24,755","25,585","24,590","813,16K","4,32%"
"06.10.2021","24,190","24,850","24,915","24,095","742,20K","-4,24%"
"05.10.2021","25,260","24,750","25,280","24,420","658,41K","2,31%"
"04.10.2021","24,690","25,355","25,505","24,685","550,29K","-1,85%"
"01.10.2021","25,155","25,640","25,785","24,930","978,88K","-4,81%"
"30.09.2021","26,425","26,150","26,550","26,030","518,53K","2,11%"
"29.09.2021","25,880","25,580","26,250","25,345","431,22K","1,85%"
"28.09.2021","25,410","26,000","26,120","25,410","367,82K","-2,36%"
"27.09.2021","26,025","26,050","26,260","25,725","330,42K","0,75%"
"24.09.2021","25,830","25,970","26,085","25,620","284,96K","-0,75%"
"23.09.2021","26,025","26,030","26,095","25,550","447,46K","1,01%"
"22.09.2021","25,765","25,470","25,880","25,275","630,79K","4,44%"
"21.09.2021","24,670","25,270","25,675","24,475","901,53K","-1,79%"
"20.09.2021","25,120","26,500","26,500","24,930","1,85M","-7,70%"
"17.09.2021","27,215","28,100","28,435","27,145","885,23K","-4,29%"
"16.09.2021","28,435","28,765","28,965","28,415","428,36K","-1,10%"
"15.09.2021","28,750","27,490","28,835","27,400","624,66K","4,55%"
"14.09.2021","27,500","27,885","27,895","27,335","352,42K","-1,45%"
"13.09.2021","27,905","27,850","28,375","27,765","323,15K","-0,02%"
"10.09.2021","27,910","28,275","28,290","27,860","270,48K","-0,16%"
"09.09.2021","27,955","28,100","28,335","27,770","429,38K","-1,13%"
"08.09.2021","28,275","28,505","28,595","28,105","436,41K","-1,07%"
"07.09.2021","28,580","28,560","29,230","28,530","550,39K","-0,02%"
"06.09.2021","28,585","28,280","28,760","28,280","231,09K","1,20%"
"03.09.2021","28,245","28,620","28,815","28,170","394,13K","-1,47%"
"02.09.2021","28,665","28,535","28,730","28,330","317,87K","1,13%"
"01.09.2021","28,345","28,600","28,645","27,820","688,73K","-0,39%"
"31.08.2021","28,455","29,415","29,415","28,215","510,51K","-2,90%"
"30.08.2021","29,305","29,500","29,820","29,230","260,47K","-0,42%"
"27.08.2021","29,430","28,530","29,445","28,510","379,91K","2,74%"
"26.08.2021","28,645","28,900","29,250","28,620","339,14K","-2,19%"
"25.08.2021","29,285","29,200","29,390","29,020","272,32K","0,26%"
"24.08.2021","29,210","28,635","29,465","28,590","657,45K","2,82%"
"23.08.2021","28,410","28,480","28,535","27,900","485,26K","0,92%"
"20.08.2021","28,150","27,855","28,225","27,520","678,99K","1,08%"
"19.08.2021","27,850","29,085","29,085","27,765","1,34M","-7,04%"
"18.08.2021","29,960","29,780","30,035","29,520","277,95K","0,33%"
"17.08.2021","29,860","30,020","30,410","29,750","345,64K","-1,19%"
"16.08.2021","30,220","30,460","30,615","29,785","482,69K","-2,07%"
"13.08.2021","30,860","30,700","30,860","30,550","308,76K","1,23%"
"12.08.2021","30,485","30,740","30,820","30,375","347,31K","-0,86%"
"11.08.2021","30,750","30,400","30,810","30,130","538,86K","0,99%"
"10.08.2021","30,450","29,490","30,450","29,490","746,54K","3,20%"
"09.08.2021","29,505","29,250","29,650","29,150","238,22K","0,44%"
"06.08.2021","29,375","29,135","29,655","28,840","390,19K","0,63%"
"05.08.2021","29,190","29,255","29,285","28,880","316,12K","-0,56%"
"04.08.2021","29,355","29,410","29,665","29,250","284,61K","0,20%"
"03.08.2021","29,295","28,755","29,340","28,580","323,60K","1,44%"
"02.08.2021","28,880","29,780","29,900","28,880","463,55K","-1,65%"
"30.07.2021","29,365","29,285","29,770","29,020","536,72K","-0,84%"
"29.07.2021","29,615","28,750","29,950","28,750","1,62M","4,02%"
"28.07.2021","28,470","28,180","28,525","28,005","490,42K","0,89%"
"27.07.2021","28,220","28,315","28,410","27,830","410,93K","-0,30%"
"26.07.2021","28,305","27,055","28,330","27,020","894,50K","4,22%"
"23.07.2021","27,160","26,790","27,240","26,780","647,40K","2,86%"
"22.07.2021","26,405","26,490","26,770","26,315","434,11K","0,11%"
"21.07.2021","26,375","25,650","26,405","25,380","578,96K","4,04%"
"20.07.2021","25,350","24,850","25,470","24,615","447,32K","3,01%"
"19.07.2021","24,610","25,010","25,080","23,985","656,67K","-3,40%"
"16.07.2021","25,475","26,245","26,560","25,150","544,25K","-3,54%"
"15.07.2021","26,410","26,320","26,555","26,050","230,26K","0,04%"
"14.07.2021","26,400","25,940","26,940","25,940","552,35K","2,64%"
"13.07.2021","25,720","26,200","26,510","25,555","536,02K","-1,74%"
"12.07.2021","26,175","26,250","26,280","25,600","366,00K","-0,48%"
"09.07.2021","26,300","25,160","26,315","25,040","595,14K","5,41%"
"08.07.2021","24,950","25,540","25,540","24,365","710,91K","-3,09%"
"07.07.2021","25,745","25,530","25,950","25,275","364,11K","1,22%"
"06.07.2021","25,435","26,905","26,910","25,370","560,53K","-5,16%"
"05.07.2021","26,820","26,470","27,040","26,470","315,46K","1,21%"
"02.07.2021","26,500","26,700","26,700","26,245","268,45K","0,82%"
"01.07.2021","26,285","26,185","26,730","26,185","496,30K","1,49%"
"30.06.2021","25,900","26,250","26,375","25,520","302,77K","-1,93%"
"29.06.2021","26,410","25,550","26,555","25,540","484,88K","3,67%"
"28.06.2021","25,475","26,075","26,160","25,460","473,33K","-2,79%"
"25.06.2021","26,205","25,820","26,560","25,820","726,46K","2,68%"
"24.06.2021","25,520","24,940","25,520","24,665","484,53K","2,57%"
"23.06.2021","24,880","24,600","25,005","24,590","347,08K","1,34%"
"22.06.2021","24,550","24,580","24,580","24,145","251,08K","1,01%"
"21.06.2021","24,305","23,640","24,635","22,825","753,49K","1,36%"
"18.06.2021","23,980","24,265","24,940","23,900","809,76K","-1,68%"
"17.06.2021","24,390","25,200","25,200","24,255","927,27K","-3,27%"
"16.06.2021","25,215","25,835","25,965","24,715","1,06M","-2,00%"
"15.06.2021","25,730","26,930","26,930","25,640","939,04K","-4,47%"
"14.06.2021","26,935","27,355","27,630","26,935","316,01K","-1,23%"
"11.06.2021","27,270","26,775","27,735","26,680","570,03K","1,77%"
"10.06.2021","26,795","26,450","27,400","26,415","499,64K","1,19%"
"09.06.2021","26,480","26,760","26,760","26,095","414,01K","-0,39%"
"08.06.2021","26,585","26,700","26,855","26,110","462,27K","-0,43%"
"07.06.2021","26,700","27,080","27,225","26,615","290,57K","-1,66%"
"04.06.2021","27,150","27,070","27,405","26,880","245,93K","0,13%"
"03.06.2021","27,115","27,285","27,530","26,850","379,16K","-1,58%"
"02.06.2021","27,550","27,575","27,730","27,155","517,56K","0,31%"
"01.06.2021","27,465","27,100","27,705","27,100","637,67K","2,10%"
"31.05.2021","26,900","26,630","27,045","26,510","382,75K","1,70%"
"28.05.2021","26,450","26,740","26,830","26,400","377,66K","-0,19%"
"27.05.2021","26,500","25,340","26,705","25,340","747,95K","4,35%"
"26.05.2021","25,395","25,165","25,395","25,000","317,89K","1,18%"
"25.05.2021","25,100","25,615","25,750","25,100","303,75K","-1,82%"
"24.05.2021","25,565","25,500","25,615","25,205","257,35K","0,57%"
"21.05.2021","25,420","25,465","25,755","25,180","407,49K","0,38%"
"20.05.2021","25,325","25,600","25,740","24,990","491,11K","-0,74%"
"19.05.2021","25,515","26,300","26,300","24,945","1,51M","-4,69%"
"18.05.2021","26,770","27,300","27,710","26,655","726,36K","-0,83%"
"17.05.2021","26,995","26,765","27,230","26,595","464,81K","1,47%"
"14.05.2021","26,605","26,680","27,000","26,270","520,40K","-0,23%"
"13.05.2021","26,665","26,145","27,195","25,835","795,02K","-1,55%"
"12.05.2021","27,085","27,320","27,580","26,575","657,88K","0,17%"
"11.05.2021","27,040","26,725","27,445","26,335","891,10K","-1,96%"
"10.05.2021","27,580","27,520","27,850","27,315","696,86K","2,00%"
"07.05.2021","27,040","26,670","27,375","26,500","926,05K","2,64%"
"06.05.2021","26,345","25,940","26,630","25,465","990,91K","1,78%"
"05.05.2021","25,885","25,150","25,885","25,055","820,98K","4,88%"
"04.05.2021","24,680","25,115","25,250","24,365","516,60K","-0,08%"
"03.05.2021","24,700","24,440","24,825","24,260","250,37K","1,96%"
"30.04.2021","24,225","24,920","24,940","24,110","500,19K","-2,67%"
"29.04.2021","24,890","25,360","25,750","24,780","549,44K","-1,23%"
"28.04.2021","25,200","25,560","25,560","25,065","382,57K","-1,27%"
"27.04.2021","25,525","25,950","25,950","25,050","582,46K","-1,01%"
"26.04.2021","25,785","25,260","25,940","25,035","732,33K","2,89%"
"23.04.2021","25,060","24,300","25,140","24,260","455,92K","2,79%"
"22.04.2021","24,380","24,400","24,535","24,000","416,97K","0,95%"
