"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","10,260","10,212","10,338","10,172","-","0,54%"
"09.12.2021","10,205","10,385","10,390","10,145","550,94K","-0,92%"
"08.12.2021","10,300","10,300","10,425","10,260","681,18K","0,00%"
"07.12.2021","10,300","10,175","10,335","10,120","754,47K","3,02%"
"06.12.2021","9,998","9,988","10,030","9,852","385,18K","1,38%"
"03.12.2021","9,862","10,055","10,070","9,836","583,19K","-1,63%"
"02.12.2021","10,025","9,890","10,120","9,870","681,07K","-0,10%"
"01.12.2021","10,035","9,900","10,130","9,894","668,38K","1,90%"
"30.11.2021","9,848","10,140","10,140","9,800","2,13M","-2,74%"
"29.11.2021","10,125","10,230","10,345","10,055","782,69K","0,15%"
"26.11.2021","10,110","10,265","10,385","9,950","1,53M","-4,76%"
"25.11.2021","10,615","10,800","10,800","10,505","500,04K","-1,12%"
"24.11.2021","10,735","10,800","10,930","10,700","802,19K","-0,42%"
"23.11.2021","10,780","10,660","10,855","10,580","580,35K","1,13%"
"22.11.2021","10,660","10,500","10,700","10,475","883,42K","2,01%"
"19.11.2021","10,450","10,865","10,885","10,370","1,25M","-2,84%"
"18.11.2021","10,755","10,700","10,895","10,620","1,29M","0,51%"
"17.11.2021","10,700","10,800","10,805","10,620","1,33M","-0,56%"
"16.11.2021","10,760","10,835","10,885","10,745","1,35M","-1,10%"
"15.11.2021","10,880","11,050","11,050","10,755","1,81M","-1,58%"
"12.11.2021","11,055","11,305","11,310","10,950","1,66M","-1,99%"
"11.11.2021","11,280","11,140","11,335","11,095","963,24K","1,81%"
"10.11.2021","11,080","11,185","11,220","10,925","1,96M","-1,16%"
"09.11.2021","11,210","11,440","11,555","11,195","1,16M","-1,10%"
"08.11.2021","11,335","11,255","11,400","11,130","3,19M","1,02%"
"05.11.2021","11,220","11,480","11,480","11,215","1,26M","-1,41%"
"04.11.2021","11,380","11,500","11,545","11,235","2,48M","0,35%"
"03.11.2021","11,340","12,010","12,225","11,335","3,15M","-4,91%"
"02.11.2021","11,925","12,180","12,180","11,710","1,66M","-2,61%"
"01.11.2021","12,245","12,160","12,345","12,150","883,38K","1,74%"
"29.10.2021","12,035","11,980","12,095","11,925","1,38M","0,33%"
"28.10.2021","11,995","11,975","12,015","11,905","1,53M","0,00%"
"27.10.2021","11,995","12,030","12,125","11,905","929,16K","-0,37%"
"26.10.2021","12,040","11,875","12,080","11,815","964,49K","1,99%"
"25.10.2021","11,805","11,725","11,825","11,650","723,90K","1,86%"
"22.10.2021","11,590","11,545","11,705","11,510","1,76M","0,87%"
"21.10.2021","11,490","11,655","11,680","11,400","3,98M","-2,25%"
"20.10.2021","11,755","11,875","11,875","11,570","1,06M","-1,51%"
"19.10.2021","11,935","12,220","12,350","11,885","1,11M","-1,93%"
"18.10.2021","12,170","12,145","12,230","12,025","1,07M","0,21%"
"15.10.2021","12,145","12,000","12,290","11,980","1,16M","1,93%"
"14.10.2021","11,915","11,990","12,060","11,860","1,00M","0,34%"
"13.10.2021","11,875","11,860","12,010","11,795","1,16M","0,34%"
"12.10.2021","11,835","11,500","11,840","11,400","3,68M","2,29%"
"11.10.2021","11,570","11,320","11,675","11,260","1,37M","3,03%"
"08.10.2021","11,230","11,200","11,425","11,200","2,85M","-0,04%"
"07.10.2021","11,235","11,010","11,330","10,935","1,47M","1,86%"
"06.10.2021","11,030","11,165","11,200","10,940","957,75K","-2,09%"
"05.10.2021","11,265","10,895","11,265","10,870","898,65K","3,40%"
"04.10.2021","10,895","11,000","11,035","10,690","1,76M","-1,04%"
"01.10.2021","11,010","10,700","11,170","10,610","24,16M","-0,72%"
"30.09.2021","11,090","11,315","11,385","11,050","812,14K","-1,11%"
"29.09.2021","11,215","10,810","11,305","10,740","1,33M","4,67%"
"28.09.2021","10,715","11,000","11,130","10,715","873,81K","-3,12%"
"27.09.2021","11,060","11,170","11,180","10,870","967,40K","-0,45%"
"24.09.2021","11,110","11,070","11,190","11,040","448,54K","-0,54%"
"23.09.2021","11,170","11,215","11,280","11,010","941,36K","0,00%"
"22.09.2021","11,170","11,080","11,205","10,940","1,09M","2,29%"
"21.09.2021","10,920","11,150","11,285","10,885","921,95K","-2,11%"
"20.09.2021","11,155","11,420","11,420","11,015","1,05M","-4,08%"
"17.09.2021","11,630","11,545","11,840","11,490","2,09M","0,91%"
"16.09.2021","11,525","11,470","11,730","11,450","857,03K","0,39%"
"15.09.2021","11,480","11,185","11,490","11,170","815,63K","2,64%"
"14.09.2021","11,185","11,325","11,395","11,175","998,01K","-1,50%"
"13.09.2021","11,355","11,450","11,490","11,270","636,61K","-0,26%"
"10.09.2021","11,385","11,310","11,480","11,310","574,11K","0,71%"
"09.09.2021","11,305","11,380","11,380","11,225","512,43K","-0,92%"
"08.09.2021","11,410","11,580","11,670","11,400","598,33K","-1,21%"
"07.09.2021","11,550","11,405","11,600","11,315","617,59K","1,58%"
"06.09.2021","11,370","11,495","11,500","11,300","365,34K","-0,44%"
"03.09.2021","11,420","11,515","11,540","11,390","683,08K","-0,48%"
