"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","130,15","130,10","131,10","129,95","-","-0,38%"
"09.12.2021","130,65","133,60","133,65","130,00","268,97K","-2,06%"
"08.12.2021","133,40","133,20","136,05","129,40","237,34K","-0,71%"
"07.12.2021","134,35","135,35","135,55","133,10","203,49K","-0,04%"
"06.12.2021","134,40","132,50","135,30","131,20","136,15K","3,11%"
"03.12.2021","130,35","132,40","133,70","129,80","101,97K","-1,25%"
"02.12.2021","132,00","130,80","133,05","129,90","173,72K","-0,56%"
"01.12.2021","132,75","129,20","133,60","128,75","198,20K","2,51%"
"30.11.2021","129,50","127,80","132,35","127,15","320,28K","0,12%"
"29.11.2021","129,35","130,00","132,45","129,05","329,38K","0,70%"
"26.11.2021","128,45","133,85","134,90","127,45","271,88K","-8,77%"
"25.11.2021","140,80","139,60","141,15","138,50","653,65K","0,86%"
"24.11.2021","139,60","138,05","140,30","136,35","248,83K","1,97%"
"23.11.2021","136,90","137,05","138,00","135,40","173,38K","0,66%"
"22.11.2021","136,00","135,85","138,20","133,90","170,23K","-0,44%"
"19.11.2021","136,60","141,65","141,75","136,00","266,22K","-3,60%"
"18.11.2021","141,70","143,25","143,30","141,55","115,97K","-1,08%"
"17.11.2021","143,25","144,85","145,50","142,75","142,98K","-1,82%"
"16.11.2021","145,90","148,50","149,90","145,90","176,15K","-1,72%"
"15.11.2021","148,45","146,00","150,75","145,75","107,43K","1,02%"
"12.11.2021","146,95","146,85","147,90","145,75","93,91K","-0,03%"
"11.11.2021","147,00","148,70","149,35","146,15","247,27K","-1,38%"
"10.11.2021","149,05","149,45","150,85","149,05","232,74K","-0,50%"
"09.11.2021","149,80","150,00","151,70","149,50","303,93K","0,03%"
"08.11.2021","149,75","151,25","152,00","149,20","112,03K","-0,99%"
"05.11.2021","151,25","146,45","151,25","145,20","154,58K","3,60%"
"04.11.2021","146,00","146,70","147,10","144,75","93,68K","0,21%"
"03.11.2021","145,70","145,20","146,50","144,45","263,86K","0,59%"
"02.11.2021","144,85","145,00","145,40","143,75","89,66K","-0,55%"
"01.11.2021","145,65","141,10","146,35","141,10","108,93K","2,82%"
"29.10.2021","141,65","142,35","143,60","139,50","129,86K","-0,98%"
"28.10.2021","143,05","141,05","143,05","139,45","748,51K","0,92%"
"27.10.2021","141,75","141,90","142,95","141,05","111,96K","-0,18%"
"26.10.2021","142,00","139,45","142,75","138,65","112,22K","1,72%"
"25.10.2021","139,60","142,50","142,50","139,15","308,44K","-1,66%"
"22.10.2021","141,95","142,35","142,70","139,05","112,82K","0,67%"
"21.10.2021","141,00","141,00","142,45","139,75","126,41K","-2,08%"
"20.10.2021","144,00","144,25","144,65","141,90","160,60K","-0,10%"
"19.10.2021","144,15","144,70","145,25","143,20","578,65K","-0,28%"
"18.10.2021","144,55","145,55","145,55","142,90","124,29K","-0,69%"
"15.10.2021","145,55","144,55","146,60","144,00","208,06K","1,53%"
"14.10.2021","143,35","144,45","144,95","142,75","257,19K","0,46%"
"13.10.2021","142,70","145,00","145,00","142,40","136,04K","-1,25%"
"12.10.2021","144,50","143,20","145,40","143,20","188,94K","-0,07%"
"11.10.2021","144,60","144,00","145,25","143,45","115,80K","0,14%"
"08.10.2021","144,40","143,50","145,50","143,50","306,46K","0,52%"
"07.10.2021","143,65","144,50","146,10","143,50","132,79K","0,07%"
"06.10.2021","143,55","144,80","145,20","142,15","153,38K","-1,88%"
"05.10.2021","146,30","149,10","149,25","145,35","114,15K","-1,48%"
