"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","10,700","10,635","10,755","10,625","-","0,00%"
"09.12.2021","10,700","10,790","10,790","10,610","214,37K","0,28%"
"08.12.2021","10,670","10,780","10,780","10,600","273,03K","0,00%"
"07.12.2021","10,670","10,720","10,780","10,540","328,31K","1,04%"
"06.12.2021","10,560","10,510","10,700","10,420","360,63K","1,83%"
"03.12.2021","10,370","10,790","10,810","10,360","269,95K","-3,36%"
"02.12.2021","10,730","10,740","11,010","10,670","458,12K","0,00%"
"01.12.2021","10,730","10,760","10,780","10,590","334,73K","-0,09%"
"30.11.2021","10,740","10,700","10,830","10,560","352,48K","-0,46%"
"29.11.2021","10,790","10,840","10,860","10,630","363,02K","0,37%"
"26.11.2021","10,750","10,630","10,990","10,560","652,62K","-1,65%"
"25.11.2021","10,930","10,800","11,000","10,670","336,41K","1,49%"
"24.11.2021","10,770","10,660","10,790","10,550","401,96K","1,32%"
"23.11.2021","10,630","10,260","10,700","10,260","546,92K","3,00%"
"22.11.2021","10,320","10,690","10,710","10,270","855,44K","-3,10%"
"19.11.2021","10,650","10,920","10,970","10,650","379,37K","-2,29%"
"18.11.2021","10,900","11,240","11,420","10,860","565,81K","-3,28%"
"17.11.2021","11,270","11,150","11,440","10,920","922,23K","0,90%"
"16.11.2021","11,170","11,320","11,660","11,130","1,03M","-1,15%"
"15.11.2021","11,300","12,270","12,270","11,100","2,02M","-11,09%"
"12.11.2021","12,710","12,640","12,770","12,600","172,36K","0,16%"
"11.11.2021","12,690","12,710","12,770","12,640","500,74K","-0,16%"
"10.11.2021","12,710","12,510","12,740","12,420","159,24K","1,44%"
"09.11.2021","12,530","12,500","12,630","12,480","547,40K","0,48%"
"08.11.2021","12,470","12,350","12,540","12,300","328,27K","0,65%"
"05.11.2021","12,390","12,920","12,920","12,370","257,70K","-2,21%"
"04.11.2021","12,670","12,810","12,820","12,670","276,78K","-0,47%"
"03.11.2021","12,730","12,960","13,020","12,710","230,35K","-1,77%"
"02.11.2021","12,960","13,260","13,290","12,820","217,48K","-1,89%"
