"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","57,670","56,500","58,040","56,500","-","0,09%"
"09.12.2021","57,620","59,080","59,200","57,620","1,40M","-2,14%"
"08.12.2021","58,880","58,600","59,580","57,200","947,76K","-0,67%"
"07.12.2021","59,280","59,080","59,420","58,480","813,58K","1,86%"
"06.12.2021","58,200","57,600","58,600","57,180","917,99K","2,32%"
"03.12.2021","56,880","57,880","58,460","56,640","2,75M","-0,66%"
"02.12.2021","57,260","57,380","57,940","56,920","1,32M","-1,99%"
"01.12.2021","58,420","57,160","58,860","57,060","1,54M","3,43%"
"30.11.2021","56,480","57,000","58,380","54,920","3,08M","-2,75%"
"29.11.2021","58,080","57,000","58,560","56,780","2,04M","2,36%"
"26.11.2021","56,740","53,800","57,500","52,820","3,17M","-7,50%"
"25.11.2021","61,340","60,060","61,560","60,040","731,16K","2,13%"
"24.11.2021","60,060","60,180","60,360","57,920","1,24M","0,43%"
"23.11.2021","59,800","58,840","60,740","58,600","1,14M","0,81%"
"22.11.2021","59,320","60,220","61,100","58,640","1,25M","-1,46%"
"19.11.2021","60,200","63,320","63,620","59,720","1,62M","-4,75%"
"18.11.2021","63,200","61,640","64,440","61,400","980,89K","2,40%"
"17.11.2021","61,720","61,880","62,780","61,300","912,15K","-0,39%"
"16.11.2021","61,960","63,500","64,060","61,900","628,13K","-2,46%"
"15.11.2021","63,520","61,760","63,840","61,600","528,40K","2,22%"
"12.11.2021","62,140","62,440","62,820","61,540","984,06K","-0,48%"
"11.11.2021","62,440","63,260","63,460","62,020","1,27M","-2,19%"
"10.11.2021","63,840","63,500","64,400","63,500","920,21K","-0,62%"
"09.11.2021","64,240","62,400","64,540","62,240","1,57M","2,98%"
"08.11.2021","62,380","62,740","63,060","61,540","1,19M","0,71%"
"05.11.2021","61,940","59,000","62,380","57,260","1,29M","4,70%"
"04.11.2021","59,160","58,440","59,260","57,820","902,02K","0,96%"
"03.11.2021","58,600","57,980","58,900","57,800","581,91K","0,58%"
"02.11.2021","58,260","57,580","58,520","57,460","736,02K","0,45%"
"01.11.2021","58,000","58,220","58,600","57,440","998,62K","0,28%"
"29.10.2021","57,840","57,140","57,960","56,840","842,39K","1,12%"
"28.10.2021","57,200","57,100","57,700","56,440","596,03K","0,18%"
"27.10.2021","57,100","56,780","57,560","56,320","622,75K","0,25%"
"26.10.2021","56,960","55,020","57,300","54,700","648,36K","3,34%"
"25.10.2021","55,120","55,600","55,600","54,660","664,35K","-0,51%"
"22.10.2021","55,400","56,460","56,580","55,080","1,04M","-1,74%"
"21.10.2021","56,380","56,340","56,860","55,420","1,15M","-0,28%"
"20.10.2021","56,540","59,800","60,100","56,400","1,19M","-5,48%"
"19.10.2021","59,820","60,080","60,540","59,600","613,49K","-0,17%"
"18.10.2021","59,920","60,100","60,180","59,400","1,31M","-0,89%"
"15.10.2021","60,460","60,540","61,000","59,780","907,52K","0,77%"
"14.10.2021","60,000","60,500","60,600","59,760","602,49K","0,00%"
"13.10.2021","60,000","58,700","60,060","58,700","991,16K","1,69%"
"12.10.2021","59,000","58,220","59,360","58,120","1,31M","-0,51%"
