"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","4,307","4,340","4,354","4,295","943,02K","-0,83%"
"09.12.2021","4,343","4,400","4,415","4,340","2,77M","-1,03%"
"08.12.2021","4,388","4,425","4,458","4,347","1,86M","-0,61%"
"07.12.2021","4,415","4,466","4,466","4,390","1,81M","-0,09%"
"06.12.2021","4,419","4,378","4,439","4,351","1,18M","1,89%"
"03.12.2021","4,337","4,409","4,415","4,318","1,48M","-1,16%"
"02.12.2021","4,388","4,340","4,407","4,323","1,85M","-0,16%"
"01.12.2021","4,395","4,355","4,420","4,342","4,31M","1,17%"
"30.11.2021","4,344","4,300","4,400","4,268","3,09M","-0,30%"
"29.11.2021","4,357","4,385","4,437","4,335","2,97M","1,18%"
"26.11.2021","4,306","4,400","4,431","4,040","4,33M","-5,30%"
"25.11.2021","4,547","4,575","4,575","4,509","941,56K","-0,57%"
"24.11.2021","4,573","4,594","4,632","4,550","1,71M","-0,22%"
"23.11.2021","4,583","4,583","4,645","4,533","1,93M","-0,41%"
"22.11.2021","4,602","4,570","4,625","4,558","1,98M","0,99%"
"19.11.2021","4,557","4,731","4,739","4,544","3,02M","-3,02%"
"18.11.2021","4,699","4,761","4,777","4,678","2,42M","-1,49%"
"17.11.2021","4,770","4,918","4,918","4,761","2,91M","-2,93%"
"16.11.2021","4,914","4,970","4,982","4,913","1,56M","-1,17%"
"15.11.2021","4,972","4,943","5,008","4,908","1,81M","-0,10%"
"12.11.2021","4,977","4,970","4,977","4,902","1,60M","0,04%"
"11.11.2021","4,975","4,974","5,010","4,950","1,79M","0,10%"
"10.11.2021","4,970","4,903","4,988","4,901","4,63M","1,35%"
"09.11.2021","4,904","4,950","4,976","4,894","10,51M","-1,03%"
"08.11.2021","4,955","4,980","5,008","4,943","2,33M","-0,24%"
"05.11.2021","4,967","4,881","5,004","4,876","4,51M","1,82%"
"04.11.2021","4,878","4,958","5,014","4,850","2,55M","-0,51%"
"03.11.2021","4,903","4,866","4,923","4,839","2,45M","0,95%"
"02.11.2021","4,857","4,909","4,910","4,818","1,94M","-1,06%"
"01.11.2021","4,909","4,838","4,957","4,785","3,62M","3,09%"
"29.10.2021","4,762","4,798","4,814","4,731","2,81M","-0,10%"
"28.10.2021","4,767","4,700","4,788","4,648","2,40M","1,25%"
"27.10.2021","4,708","4,748","4,766","4,660","2,21M","0,06%"
"26.10.2021","4,705","4,755","4,798","4,705","2,59M","-1,05%"
"25.10.2021","4,755","4,739","4,840","4,733","3,51M","0,70%"
"22.10.2021","4,722","4,800","4,846","4,704","5,94M","-1,32%"
"21.10.2021","4,785","5,000","5,010","4,732","10,82M","-5,51%"
"20.10.2021","5,064","5,084","5,136","5,024","2,02M","-0,82%"
"19.10.2021","5,106","5,038","5,112","5,018","2,00M","1,71%"
"18.10.2021","5,020","5,100","5,132","5,014","2,68M","-2,52%"
"15.10.2021","5,150","5,050","5,166","5,050","2,60M","2,67%"
"14.10.2021","5,016","5,060","5,090","5,012","1,85M","0,20%"
"13.10.2021","5,006","5,214","5,218","4,903","9,96M","-4,14%"
"12.10.2021","5,222","5,070","5,228","5,024","11,54M","1,67%"
"11.10.2021","5,136","5,208","5,236","5,110","3,32M","-1,08%"
"08.10.2021","5,192","5,170","5,244","5,166","10,32M","0,31%"
"07.10.2021","5,176","5,188","5,194","5,080","2,29M","1,21%"
"06.10.2021","5,114","5,170","5,194","5,090","1,93M","-1,62%"
"05.10.2021","5,198","5,066","5,198","5,040","1,97M","3,05%"
"04.10.2021","5,044","5,090","5,120","5,010","1,40M","-0,16%"
"01.10.2021","5,052","5,000","5,052","4,960","4,42M","-0,32%"
"30.09.2021","5,068","5,098","5,114","5,038","1,95M","0,12%"
"29.09.2021","5,062","5,050","5,110","5,014","2,01M","-1,02%"
"28.09.2021","5,114","5,270","5,300","5,114","11,65M","-2,55%"
"27.09.2021","5,248","5,120","5,256","5,080","4,74M","2,98%"
"24.09.2021","5,096","5,040","5,096","5,016","3,70M","1,19%"
"23.09.2021","5,036","4,971","5,068","4,965","2,06M","1,76%"
"22.09.2021","4,949","4,940","4,970","4,888","1,53M","1,37%"
"21.09.2021","4,882","4,845","4,934","4,836","6,25M","1,41%"
"20.09.2021","4,814","4,900","4,903","4,691","3,59M","-3,26%"
"17.09.2021","4,976","5,018","5,066","4,966","5,06M","0,20%"
"16.09.2021","4,966","4,943","5,024","4,943","2,53M","0,79%"
"15.09.2021","4,927","4,929","4,984","4,912","1,54M","-0,06%"
"14.09.2021","4,930","4,950","4,995","4,907","2,62M","-0,26%"
"13.09.2021","4,943","4,910","4,950","4,857","1,14M","1,54%"
"10.09.2021","4,868","4,965","4,965","4,864","1,52M","-1,42%"
"09.09.2021","4,938","4,881","4,965","4,864","1,23M","0,35%"
"08.09.2021","4,921","4,980","4,993","4,897","1,57M","-1,74%"
"07.09.2021","5,008","4,984","5,028","4,968","1,36M","0,76%"
"06.09.2021","4,970","4,954","4,987","4,944","2,32M","0,61%"
"03.09.2021","4,940","4,984","4,988","4,910","1,86M","-0,98%"
"02.09.2021","4,989","5,014","5,052","4,936","2,86M","-0,74%"
"01.09.2021","5,026","4,940","5,028","4,940","2,46M","1,27%"
"31.08.2021","4,963","4,910","4,971","4,850","1,67M","1,00%"
"30.08.2021","4,914","5,000","5,006","4,904","1,22M","-1,92%"
"27.08.2021","5,010","4,927","5,010","4,921","1,16M","1,31%"
"26.08.2021","4,945","4,953","5,006","4,933","1,39M","-0,86%"
"25.08.2021","4,988","4,870","4,988","4,849","1,44M","2,42%"
"24.08.2021","4,870","4,885","4,885","4,809","913,43K","0,29%"
"23.08.2021","4,856","4,839","4,875","4,807","841,22K","1,36%"
"20.08.2021","4,791","4,803","4,816","4,726","1,62M","-0,27%"
"19.08.2021","4,804","4,815","4,875","4,790","1,76M","-2,36%"
"18.08.2021","4,920","4,780","4,940","4,780","2,08M","2,63%"
"17.08.2021","4,794","4,800","4,834","4,775","1,28M","-0,97%"
"16.08.2021","4,841","4,832","4,882","4,818","1,15M","-0,78%"
"13.08.2021","4,879","4,846","4,910","4,840","1,21M","0,37%"
"12.08.2021","4,861","4,869","4,909","4,825","1,55M","-0,16%"
"11.08.2021","4,869","4,837","4,869","4,797","1,49M","1,56%"
"10.08.2021","4,794","4,850","4,850","4,731","1,69M","-1,15%"
"09.08.2021","4,850","4,804","4,850","4,781","1,95M","0,62%"
"06.08.2021","4,820","4,720","4,828","4,691","2,46M","2,53%"
"05.08.2021","4,701","4,629","4,710","4,629","1,48M","0,69%"
"04.08.2021","4,669","4,638","4,670","4,598","1,07M","1,10%"
"03.08.2021","4,618","4,600","4,675","4,559","1,60M","0,70%"
"02.08.2021","4,586","4,640","4,676","4,579","1,89M","-0,46%"
"30.07.2021","4,607","4,597","4,615","4,543","1,99M","-0,24%"
"29.07.2021","4,618","4,579","4,666","4,537","1,89M","1,47%"
"28.07.2021","4,551","4,577","4,601","4,527","2,73M","-0,20%"
"27.07.2021","4,560","4,579","4,582","4,506","1,67M","-1,06%"
"26.07.2021","4,609","4,500","4,619","4,408","2,32M","2,65%"
"23.07.2021","4,490","4,461","4,570","4,420","3,28M","2,46%"
"22.07.2021","4,382","4,350","4,462","4,273","4,87M","1,67%"
"21.07.2021","4,310","4,238","4,330","4,223","2,81M","2,30%"
"20.07.2021","4,213","4,156","4,237","4,125","2,56M","2,53%"
"19.07.2021","4,109","4,197","4,202","4,062","1,98M","-2,47%"
"16.07.2021","4,213","4,315","4,355","4,200","2,17M","-1,66%"
"15.07.2021","4,284","4,302","4,302","4,234","1,74M","-0,37%"
"14.07.2021","4,300","4,260","4,376","4,251","3,35M","2,50%"
"13.07.2021","4,195","4,221","4,258","4,188","2,03M","-1,50%"
"12.07.2021","4,259","4,260","4,278","4,178","1,56M","0,28%"
"09.07.2021","4,247","4,162","4,256","4,118","1,86M","3,41%"
"08.07.2021","4,107","4,111","4,132","4,059","1,81M","-1,56%"
"07.07.2021","4,172","4,185","4,219","4,127","1,51M","-0,24%"
"06.07.2021","4,182","4,298","4,308","4,177","1,96M","-2,86%"
"05.07.2021","4,305","4,220","4,309","4,210","824,68K","2,09%"
"02.07.2021","4,217","4,319","4,325","4,211","1,60M","-1,93%"
"01.07.2021","4,300","4,266","4,320","4,242","1,65M","1,44%"
"30.06.2021","4,239","4,250","4,275","4,210","1,57M","-0,47%"
"29.06.2021","4,259","4,263","4,321","4,238","1,53M","-0,16%"
"28.06.2021","4,266","4,357","4,367","4,266","1,38M","-2,00%"
"25.06.2021","4,353","4,329","4,377","4,318","1,18M","0,55%"
"24.06.2021","4,329","4,302","4,367","4,265","1,35M","1,17%"
"23.06.2021","4,279","4,300","4,324","4,252","1,87M","0,14%"
"22.06.2021","4,273","4,235","4,290","4,211","3,43M","1,59%"
"21.06.2021","4,206","4,180","4,220","4,122","2,52M","-0,57%"
"18.06.2021","4,230","4,318","4,346","4,195","5,38M","-2,26%"
"17.06.2021","4,328","4,380","4,483","4,318","4,28M","-0,69%"
"16.06.2021","4,358","4,481","4,506","4,326","2,53M","-1,74%"
"15.06.2021","4,435","4,530","4,530","4,430","2,25M","-1,66%"
"14.06.2021","4,510","4,502","4,524","4,479","1,92M","0,94%"
"11.06.2021","4,468","4,467","4,496","4,419","1,46M","-0,22%"
"10.06.2021","4,478","4,475","4,576","4,455","3,08M","0,61%"
"09.06.2021","4,451","4,513","4,547","4,443","2,57M","-1,22%"
"08.06.2021","4,506","4,550","4,584","4,484","2,29M","-1,44%"
"07.06.2021","4,572","4,550","4,574","4,521","4,26M","-0,59%"
"04.06.2021","4,599","4,695","4,700","4,583","3,78M","-2,15%"
"03.06.2021","4,700","4,671","4,716","4,650","2,37M","0,45%"
"02.06.2021","4,679","4,695","4,708","4,642","2,22M","-0,21%"
"01.06.2021","4,689","4,719","4,726","4,672","1,76M","-0,02%"
"31.05.2021","4,690","4,700","4,727","4,662","2,18M","0,21%"
"28.05.2021","4,680","4,739","4,745","4,647","3,33M","-0,62%"
"27.05.2021","4,709","4,660","4,756","4,645","4,28M","0,92%"
"26.05.2021","4,666","4,735","4,746","4,624","2,81M","-1,58%"
"25.05.2021","4,741","4,751","4,785","4,720","1,43M","0,04%"
"24.05.2021","4,739","4,790","4,790","4,723","889,99K","-0,84%"
"21.05.2021","4,779","4,717","4,779","4,697","2,69M","1,38%"
"20.05.2021","4,714","4,736","4,748","4,671","1,61M","0,23%"
"19.05.2021","4,703","4,730","4,780","4,648","2,77M","-1,09%"
"18.05.2021","4,755","4,813","4,835","4,750","1,91M","-0,50%"
"17.05.2021","4,779","4,800","4,818","4,735","2,05M","-0,10%"
"14.05.2021","4,784","4,740","4,790","4,735","2,31M","1,72%"
"13.05.2021","4,703","4,668","4,710","4,625","2,38M","-0,80%"
"12.05.2021","4,741","4,720","4,767","4,621","2,66M","0,47%"
"11.05.2021","4,719","4,800","4,835","4,699","3,97M","-1,97%"
"10.05.2021","4,814","4,763","4,859","4,750","3,34M","2,51%"
