"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","2,296","2,309","2,327","2,292","8,92M","-1,25%"
"09.12.2021","2,325","2,343","2,362","2,325","5,80M","-1,19%"
"08.12.2021","2,353","2,352","2,398","2,334","17,24M","-0,51%"
"07.12.2021","2,365","2,374","2,376","2,328","11,27M","0,81%"
"06.12.2021","2,346","2,310","2,352","2,303","5,37M","2,09%"
"03.12.2021","2,298","2,336","2,338","2,278","9,09M","-1,03%"
"02.12.2021","2,322","2,290","2,328","2,276","11,80M","-0,04%"
"01.12.2021","2,323","2,280","2,345","2,279","13,12M","2,15%"
"30.11.2021","2,274","2,250","2,304","2,228","21,64M","-0,57%"
"29.11.2021","2,287","2,322","2,335","2,277","14,59M","0,09%"
"26.11.2021","2,285","2,323","2,342","2,276","17,48M","-4,99%"
"25.11.2021","2,405","2,411","2,425","2,384","9,23M","0,08%"
"24.11.2021","2,403","2,413","2,443","2,403","14,71M","-0,12%"
"23.11.2021","2,406","2,390","2,424","2,376","9,53M","0,42%"
"22.11.2021","2,396","2,378","2,409","2,362","11,84M","0,93%"
"19.11.2021","2,374","2,483","2,497","2,365","19,05M","-3,77%"
"18.11.2021","2,467","2,480","2,508","2,463","10,17M","-1,00%"
"17.11.2021","2,492","2,500","2,513","2,476","12,10M","-0,32%"
"16.11.2021","2,500","2,504","2,513","2,485","8,31M","-0,52%"
"15.11.2021","2,513","2,494","2,534","2,478","8,75M","0,36%"
"12.11.2021","2,504","2,500","2,516","2,490","7,52M","-0,20%"
"11.11.2021","2,509","2,517","2,537","2,499","8,76M","-0,59%"
"10.11.2021","2,524","2,500","2,530","2,495","10,65M","1,49%"
"09.11.2021","2,487","2,468","2,504","2,462","15,00M","0,61%"
"08.11.2021","2,472","2,491","2,499","2,467","8,81M","-1,36%"
"05.11.2021","2,506","2,460","2,527","2,460","10,45M","1,58%"
"04.11.2021","2,467","2,518","2,519","2,467","15,27M","-1,83%"
"03.11.2021","2,513","2,507","2,522","2,484","16,23M","0,36%"
"02.11.2021","2,504","2,474","2,519","2,462","11,51M","0,68%"
"01.11.2021","2,487","2,490","2,510","2,470","19,27M","0,08%"
"29.10.2021","2,485","2,497","2,570","2,457","24,87M","-4,24%"
"28.10.2021","2,595","2,536","2,603","2,511","16,91M","1,80%"
"27.10.2021","2,549","2,596","2,596","2,528","10,39M","-2,04%"
"26.10.2021","2,602","2,600","2,621","2,585","7,36M","-0,12%"
"25.10.2021","2,605","2,552","2,642","2,546","13,53M","2,52%"
