"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","52,48","52,02","52,88","51,72","1,45M","-0,15%"
"09.12.2021","52,56","52,06","53,06","51,72","1,30M","1,27%"
"08.12.2021","51,90","51,70","52,78","51,70","2,41M","0,08%"
"07.12.2021","51,86","51,82","52,04","51,38","799,84K","1,05%"
"06.12.2021","51,32","51,14","51,80","50,64","638,84K","1,50%"
"03.12.2021","50,56","51,10","51,10","50,16","709,87K","-0,67%"
"02.12.2021","50,90","51,40","52,20","50,42","1,30M","-2,19%"
"01.12.2021","52,04","52,04","52,80","51,44","993,67K","0,00%"
"30.11.2021","52,04","52,98","53,66","52,04","1,94M","-2,25%"
"29.11.2021","53,24","52,86","53,34","52,32","768,46K","0,95%"
"26.11.2021","52,74","51,00","53,06","51,00","1,22M","1,97%"
"25.11.2021","51,72","52,46","52,72","51,68","1,14M","-1,15%"
"24.11.2021","52,32","52,08","52,64","51,72","2,02M","0,85%"
"23.11.2021","51,88","52,14","52,22","50,90","1,17M","-0,46%"
"22.11.2021","52,12","52,64","53,28","52,12","821,78K","-0,69%"
"19.11.2021","52,48","51,08","52,74","51,08","1,61M","2,66%"
"18.11.2021","51,12","51,86","52,12","50,62","2,92M","-1,27%"
"17.11.2021","51,78","53,00","53,02","51,78","2,93M","-2,23%"
"16.11.2021","52,96","54,20","54,54","52,96","1,17M","-2,25%"
"15.11.2021","54,18","54,50","54,80","53,86","4,02M","-0,33%"
"12.11.2021","54,36","53,02","54,70","53,02","1,02M","2,22%"
"11.11.2021","53,18","53,60","53,86","52,70","5,56M","-0,82%"
"10.11.2021","53,62","53,60","53,84","52,98","1,05M","0,07%"
"09.11.2021","53,58","53,26","54,16","52,94","3,33M","0,71%"
"08.11.2021","53,20","52,82","53,88","52,76","696,80K","0,91%"
"05.11.2021","52,72","53,62","53,64","52,72","655,93K","-1,13%"
"04.11.2021","53,32","51,76","53,64","51,14","4,19M","3,61%"
"03.11.2021","51,46","52,64","52,74","51,26","1,29M","-2,20%"
"02.11.2021","52,62","53,12","53,86","52,44","1,18M","-0,98%"
"01.11.2021","53,14","53,22","53,48","52,56","798,99K","-0,08%"
"29.10.2021","53,18","53,74","53,76","51,90","4,12M","-1,92%"
"28.10.2021","54,22","53,96","54,52","53,74","5,16M","0,26%"
"27.10.2021","54,08","54,38","54,72","53,84","1,90M","-0,15%"
"26.10.2021","54,16","54,06","54,86","53,70","614,20K","0,33%"
"25.10.2021","53,98","54,72","54,72","53,96","491,08K","-1,17%"
"22.10.2021","54,62","54,90","55,02","54,34","532,57K","-0,33%"
"21.10.2021","54,80","54,14","54,80","53,94","2,29M","1,41%"
"20.10.2021","54,04","53,56","54,36","53,14","3,03M","0,93%"
"19.10.2021","53,54","53,02","53,70","52,96","693,55K","1,36%"
