"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","26,760","26,460","27,200","26,380","197,84K","0,38%"
"09.12.2021","26,660","26,280","26,800","26,100","149,67K","2,30%"
"08.12.2021","26,060","26,180","26,380","25,880","176,83K","-0,84%"
"07.12.2021","26,280","26,040","26,340","25,740","154,88K","2,90%"
"06.12.2021","25,540","25,160","25,600","24,980","123,38K","2,08%"
"03.12.2021","25,020","25,860","25,860","24,860","151,97K","-1,96%"
"02.12.2021","25,520","25,140","25,620","24,900","231,06K","1,11%"
"01.12.2021","25,240","24,000","25,260","23,980","211,34K","3,10%"
"30.11.2021","24,480","24,780","24,840","23,820","317,68K","-2,55%"
"29.11.2021","25,120","25,100","25,380","24,780","137,61K","0,40%"
"26.11.2021","25,020","25,300","25,900","24,980","196,69K","-4,14%"
"25.11.2021","26,100","26,400","26,400","25,280","241,70K","-0,38%"
"24.11.2021","26,200","26,660","26,840","26,160","239,65K","-1,65%"
"23.11.2021","26,640","26,540","26,740","26,420","129,85K","0,00%"
"22.11.2021","26,640","26,340","26,720","26,280","136,43K","1,29%"
"19.11.2021","26,300","26,520","26,720","26,000","183,25K","-0,45%"
"18.11.2021","26,420","27,360","27,540","26,160","224,17K","-3,22%"
"17.11.2021","27,300","26,800","27,340","26,640","274,83K","1,94%"
"16.11.2021","26,780","25,840","27,000","25,800","357,25K","3,24%"
"15.11.2021","25,940","25,500","25,940","25,400","197,34K","1,73%"
"12.11.2021","25,500","24,800","25,500","24,800","139,26K","2,00%"
"11.11.2021","25,000","24,820","25,040","24,740","166,52K","0,73%"
"10.11.2021","24,820","24,820","24,860","24,580","110,24K","0,08%"
"09.11.2021","24,800","24,760","25,080","24,660","155,28K","-0,08%"
"08.11.2021","24,820","24,540","24,860","24,500","196,88K","0,81%"
"05.11.2021","24,620","24,280","24,620","24,200","190,52K","0,90%"
"04.11.2021","24,400","24,100","24,400","23,800","718,94K","3,57%"
"03.11.2021","23,560","23,220","23,560","23,120","147,88K","1,90%"
"02.11.2021","23,120","23,100","23,520","23,100","152,24K","-1,95%"
"01.11.2021","23,580","23,700","23,980","23,420","157,57K","0,26%"
"29.10.2021","23,520","23,240","23,560","23,040","195,12K","1,29%"
"28.10.2021","23,220","22,920","23,220","22,920","182,74K","0,61%"
"27.10.2021","23,080","23,100","23,120","22,780","151,41K","0,17%"
"26.10.2021","23,040","22,800","23,180","22,800","134,65K","1,23%"
"25.10.2021","22,760","23,560","23,580","22,580","326,15K","-3,31%"
"22.10.2021","23,540","23,900","24,080","23,540","447,53K","-1,75%"
"21.10.2021","23,960","23,360","24,100","22,960","328,78K","4,72%"
"20.10.2021","22,880","22,100","22,980","22,060","339,96K","2,42%"
"19.10.2021","22,340","22,160","22,480","22,160","119,47K","0,54%"
"18.10.2021","22,220","22,380","22,440","22,120","210,99K","-0,98%"
"15.10.2021","22,440","22,440","22,580","22,140","194,59K","1,91%"
"14.10.2021","22,020","22,380","22,600","21,980","425,73K","-0,09%"
"13.10.2021","22,040","21,880","22,260","21,760","131,88K","0,82%"
"12.10.2021","21,860","21,820","21,940","21,660","176,59K","-0,91%"
"11.10.2021","22,060","21,520","22,140","21,500","196,14K","1,38%"
"08.10.2021","21,760","21,600","22,040","21,560","311,29K","0,74%"
"07.10.2021","21,600","20,960","21,640","20,960","160,47K","3,45%"
"06.10.2021","20,880","20,880","21,240","20,760","386,96K","-1,42%"
"05.10.2021","21,180","21,680","21,680","21,120","390,70K","-0,47%"
"04.10.2021","21,280","21,400","21,580","21,180","179,58K","-0,37%"
"01.10.2021","21,360","21,320","21,600","21,160","214,00K","-1,93%"
"30.09.2021","21,780","22,060","22,200","21,560","291,81K","-1,45%"
"29.09.2021","22,100","22,120","22,260","21,940","118,62K","0,45%"
"28.09.2021","22,000","22,780","22,800","21,960","139,58K","-3,25%"
"27.09.2021","22,740","22,880","22,880","22,460","188,24K","0,62%"
"24.09.2021","22,600","22,320","22,700","22,180","142,98K","0,89%"
"23.09.2021","22,400","22,360","22,580","22,120","158,91K","1,63%"
"22.09.2021","22,040","21,800","22,160","21,420","206,74K","3,28%"
"21.09.2021","21,340","21,460","21,640","21,240","162,31K","0,09%"
"20.09.2021","21,320","21,660","21,720","21,300","242,57K","-2,56%"
"17.09.2021","21,880","21,920","22,200","21,740","250,34K","-0,18%"
"16.09.2021","21,920","22,560","22,560","21,920","257,01K","-1,97%"
"15.09.2021","22,360","23,000","23,000","22,220","164,02K","-2,78%"
"14.09.2021","23,000","23,800","23,800","22,920","152,02K","-2,95%"
"13.09.2021","23,700","23,800","23,800","23,440","94,22K","0,77%"
"10.09.2021","23,520","24,000","24,000","23,440","142,81K","-0,42%"
"09.09.2021","23,620","23,460","23,680","23,120","155,80K","0,51%"
"08.09.2021","23,500","24,200","24,200","23,420","156,92K","-2,00%"
"07.09.2021","23,980","23,900","23,980","23,600","131,79K","0,08%"
"06.09.2021","23,960","23,860","24,020","23,800","91,09K","0,50%"
"03.09.2021","23,840","24,300","24,300","23,820","166,34K","-1,16%"
"02.09.2021","24,120","24,140","24,360","24,020","97,16K","0,25%"
"01.09.2021","24,060","24,240","24,540","24,000","140,02K","-1,15%"
"31.08.2021","24,340","24,480","24,660","24,280","110,61K","-0,41%"
"30.08.2021","24,440","24,740","24,760","24,440","68,73K","-0,89%"
"27.08.2021","24,660","24,560","24,700","24,500","95,53K","0,00%"
"26.08.2021","24,660","24,640","24,780","24,440","84,26K","0,00%"
"25.08.2021","24,660","24,880","24,940","24,640","87,29K","-0,88%"
"24.08.2021","24,880","24,860","24,900","24,700","92,82K","0,40%"
"23.08.2021","24,780","24,980","25,340","24,620","107,65K","-1,51%"
"20.08.2021","25,160","24,700","25,260","24,700","112,89K","0,64%"
"19.08.2021","25,000","25,100","25,220","24,960","150,27K","-1,96%"
"18.08.2021","25,500","25,000","25,540","25,000","84,05K","0,16%"
"17.08.2021","25,460","25,620","25,820","25,440","161,58K","-1,70%"
"16.08.2021","25,900","25,800","26,060","25,700","122,00K","0,00%"
"13.08.2021","25,900","25,920","25,980","25,800","78,13K","-0,08%"
"12.08.2021","25,920","25,540","25,960","25,440","134,27K","1,09%"
"11.08.2021","25,640","25,100","25,680","25,080","124,24K","1,91%"
"10.08.2021","25,160","25,200","25,600","25,160","113,65K","-0,55%"
"09.08.2021","25,300","25,100","25,300","25,100","66,78K","0,00%"
"06.08.2021","25,300","25,240","25,560","25,120","77,95K","-0,16%"
"05.08.2021","25,340","24,760","25,340","24,740","113,66K","1,77%"
"04.08.2021","24,900","24,860","25,100","24,740","97,22K","0,48%"
"03.08.2021","24,780","25,280","25,280","24,660","113,61K","-1,35%"
"02.08.2021","25,120","25,120","25,560","25,080","135,27K","0,00%"
"30.07.2021","25,120","24,600","25,320","24,540","227,08K","1,37%"
"29.07.2021","24,780","25,080","25,260","24,560","208,75K","-0,80%"
"28.07.2021","24,980","25,040","25,120","24,220","127,70K","1,71%"
"27.07.2021","24,560","25,320","25,320","24,440","161,93K","-2,07%"
"26.07.2021","25,080","24,320","25,200","24,200","166,65K","0,88%"
"23.07.2021","24,860","24,720","25,100","24,720","145,76K","1,39%"
"22.07.2021","24,520","24,740","25,120","24,520","118,08K","-0,81%"
"21.07.2021","24,720","24,360","24,820","24,340","218,71K","1,39%"
"20.07.2021","24,380","24,340","24,460","23,980","115,28K","1,58%"
"19.07.2021","24,000","24,300","24,360","23,680","178,94K","-2,36%"
"16.07.2021","24,580","24,980","25,120","24,500","132,83K","-1,99%"
"15.07.2021","25,080","25,900","25,900","24,960","652,71K","-2,03%"
"14.07.2021","25,600","25,800","25,900","25,460","118,14K","0,16%"
"13.07.2021","25,560","25,460","25,740","25,380","103,18K","-0,08%"
"12.07.2021","25,580","25,280","25,680","24,940","104,49K","0,16%"
"09.07.2021","25,540","25,240","25,540","25,060","114,34K","2,16%"
"08.07.2021","25,000","25,460","25,460","24,720","152,37K","-1,96%"
"07.07.2021","25,500","25,460","25,660","25,220","119,11K","0,31%"
"06.07.2021","25,420","26,000","26,160","25,240","119,49K","-2,68%"
"05.07.2021","26,120","26,200","26,200","25,780","107,55K","1,48%"
"02.07.2021","25,740","26,000","26,100","25,740","205,69K","-1,15%"
"01.07.2021","26,040","25,040","26,060","24,960","784,15K","4,33%"
"30.06.2021","24,960","25,640","25,700","24,920","316,69K","-2,50%"
"29.06.2021","25,600","25,100","25,660","25,040","395,70K","2,48%"
"28.06.2021","24,980","25,700","25,860","24,880","236,67K","-2,35%"
