"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","8,050","7,885","8,065","7,885","688,62K","1,07%"
"09.12.2021","7,965","7,895","8,080","7,895","744,66K","0,06%"
"08.12.2021","7,960","7,900","8,085","7,865","972,93K","0,44%"
"07.12.2021","7,925","8,040","8,095","7,910","526,66K","0,51%"
"06.12.2021","7,885","7,820","7,920","7,785","407,64K","1,41%"
"03.12.2021","7,775","7,860","7,945","7,770","993,39K","-0,96%"
"02.12.2021","7,850","7,790","7,905","7,785","797,41K","-0,51%"
"01.12.2021","7,890","7,895","8,010","7,750","1,12M","-1,38%"
"30.11.2021","8,000","8,150","8,215","8,000","1,18M","-2,74%"
"29.11.2021","8,225","8,245","8,340","8,185","627,24K","0,73%"
"26.11.2021","8,165","8,200","8,335","8,130","1,01M","-4,00%"
"25.11.2021","8,505","8,360","8,520","8,310","458,06K","1,61%"
"24.11.2021","8,370","8,180","8,395","8,175","570,89K","2,32%"
"23.11.2021","8,180","8,265","8,300","8,175","878,76K","1,05%"
"22.11.2021","8,095","8,030","8,170","8,030","645,89K","0,31%"
"19.11.2021","8,070","8,105","8,250","8,025","911,65K","-1,94%"
"18.11.2021","8,230","8,550","8,550","7,990","1,11M","-1,38%"
"17.11.2021","8,345","8,715","8,715","8,340","530,72K","-2,68%"
"16.11.2021","8,575","8,600","8,690","8,560","504,84K","-0,06%"
"15.11.2021","8,580","8,460","8,655","8,415","558,42K","1,24%"
"12.11.2021","8,475","8,380","8,495","8,360","556,39K","0,71%"
"11.11.2021","8,415","8,400","8,495","8,345","553,04K","-1,00%"
"10.11.2021","8,500","8,560","8,655","8,475","389,33K","-0,82%"
"09.11.2021","8,570","8,565","8,620","8,525","460,16K","-0,06%"
"08.11.2021","8,575","8,680","8,740","8,545","663,01K","-1,15%"
"05.11.2021","8,675","8,500","8,700","8,345","646,75K","2,18%"
"04.11.2021","8,490","8,300","8,520","8,300","609,23K","2,85%"
"03.11.2021","8,255","8,260","8,275","8,130","572,66K","0,06%"
"02.11.2021","8,250","8,475","8,475","8,250","565,11K","-0,72%"
"01.11.2021","8,310","8,340","8,425","8,230","502,46K","-1,19%"
"29.10.2021","8,410","8,500","8,565","8,395","800,96K","-1,98%"
"28.10.2021","8,580","8,430","8,615","8,430","914,72K","1,18%"
"27.10.2021","8,480","8,340","8,540","8,340","501,13K","1,19%"
"26.10.2021","8,380","8,205","8,485","8,175","427,27K","1,58%"
"25.10.2021","8,250","8,470","8,470","8,250","470,59K","-0,78%"
"22.10.2021","8,315","8,425","8,425","8,315","329,22K","-0,18%"
"21.10.2021","8,330","8,340","8,455","8,285","667,13K","0,12%"
"20.10.2021","8,320","8,375","8,450","8,320","875,10K","-1,42%"
"19.10.2021","8,440","8,450","8,465","8,375","585,57K","0,24%"
"18.10.2021","8,420","8,490","8,490","8,340","524,33K","-0,82%"
"15.10.2021","8,490","8,400","8,510","8,370","749,54K","0,47%"
"14.10.2021","8,450","8,365","8,485","8,340","482,86K","1,26%"
"13.10.2021","8,345","8,410","8,415","8,300","654,48K","-0,48%"
"12.10.2021","8,385","8,235","8,435","8,235","679,42K","0,42%"
"11.10.2021","8,350","8,290","8,355","8,230","1,14M","0,30%"
"08.10.2021","8,325","8,340","8,415","8,325","939,66K","-0,89%"
"07.10.2021","8,400","8,455","8,455","8,320","837,73K","0,60%"
"06.10.2021","8,350","8,325","8,375","8,210","759,55K","-0,48%"
"05.10.2021","8,390","8,385","8,435","8,350","587,15K","0,18%"
"04.10.2021","8,375","8,455","8,550","8,375","689,09K","-1,06%"
"01.10.2021","8,465","8,310","8,575","7,930","7,98M","1,01%"
"30.09.2021","8,380","8,525","8,590","8,380","1,09M","-0,59%"
"29.09.2021","8,430","8,515","8,575","8,430","650,76K","-0,35%"
"28.09.2021","8,460","8,845","8,890","8,455","638,41K","-4,19%"
"27.09.2021","8,830","8,795","8,910","8,755","520,74K","1,38%"
"24.09.2021","8,710","8,820","8,865","8,700","325,56K","-1,47%"
"23.09.2021","8,840","8,915","8,930","8,805","571,86K","0,97%"
