"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","20,600","20,500","20,620","20,460","676,83K","0,15%"
"09.12.2021","20,570","20,530","20,630","20,420","2,63M","0,19%"
"08.12.2021","20,530","20,480","20,710","20,440","1,72M","0,10%"
"07.12.2021","20,510","20,620","20,660","20,430","3,51M","-0,29%"
"06.12.2021","20,570","20,180","20,630","20,140","1,71M","2,29%"
"03.12.2021","20,110","19,940","20,170","19,925","818,14K","1,39%"
"02.12.2021","19,835","20,190","20,190","19,805","1,88M","-1,81%"
"01.12.2021","20,200","20,230","20,270","20,070","760,34K","0,55%"
"30.11.2021","20,090","20,050","20,270","19,860","1,87M","-0,15%"
"29.11.2021","20,120","19,955","20,240","19,765","883,25K","1,26%"
"26.11.2021","19,870","19,900","20,080","19,775","1,13M","-1,39%"
"25.11.2021","20,150","20,200","20,250","20,150","1,23M","-0,15%"
"24.11.2021","20,180","20,200","20,340","20,110","604,65K","-0,10%"
"23.11.2021","20,200","19,975","20,200","19,925","698,79K","1,15%"
"22.11.2021","19,970","19,760","20,040","19,760","987,69K","1,27%"
"19.11.2021","19,720","19,885","19,970","19,720","669,14K","-0,38%"
"18.11.2021","19,795","20,180","20,190","19,680","897,83K","-1,71%"
"17.11.2021","20,140","20,010","20,230","19,975","976,10K","0,73%"
"16.11.2021","19,995","20,120","20,220","19,955","567,32K","-0,42%"
"15.11.2021","20,080","19,910","20,120","19,840","516,05K","0,75%"
"12.11.2021","19,930","20,080","20,250","19,845","618,77K","-0,25%"
"11.11.2021","19,980","20,100","20,140","19,960","819,72K","-0,84%"
"10.11.2021","20,150","19,830","20,170","19,825","1,19M","1,77%"
"09.11.2021","19,800","19,825","19,915","19,565","964,16K","-0,10%"
"08.11.2021","19,820","20,110","20,220","19,780","1,67M","-1,34%"
"05.11.2021","20,090","19,920","20,180","19,900","880,14K","0,85%"
"04.11.2021","19,920","19,870","20,060","19,795","907,17K","0,50%"
"03.11.2021","19,820","19,680","19,820","19,470","1,03M","0,69%"
"02.11.2021","19,685","19,650","19,860","19,515","1,11M","0,46%"
"01.11.2021","19,595","19,325","19,680","19,270","662,52K","0,98%"
"29.10.2021","19,405","19,690","19,690","19,390","734,84K","-0,97%"
"28.10.2021","19,595","19,805","19,810","19,510","930,32K","-0,96%"
"27.10.2021","19,785","19,390","19,800","19,340","931,71K","1,77%"
"26.10.2021","19,440","19,420","19,440","18,910","1,39M","-0,08%"
