"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","25,490","25,600","25,790","25,490","431,03K","-0,89%"
"09.12.2021","25,720","25,970","25,980","25,710","736,62K","-0,66%"
"08.12.2021","25,890","26,250","26,430","25,890","2,26M","-1,48%"
"07.12.2021","26,280","26,000","26,420","25,800","1,05M","1,90%"
"06.12.2021","25,790","25,730","25,980","25,680","1,30M","1,54%"
"03.12.2021","25,400","25,900","25,960","25,340","2,52M","-0,78%"
"02.12.2021","25,600","25,080","25,880","25,080","1,26M","0,67%"
"01.12.2021","25,430","24,560","25,520","24,550","1,18M","3,54%"
"30.11.2021","24,560","24,700","25,150","24,420","2,45M","-2,15%"
"29.11.2021","25,100","25,170","25,540","24,880","1,49M","1,33%"
"26.11.2021","24,770","26,320","26,320","24,770","1,97M","-8,70%"
"25.11.2021","27,130","26,680","27,270","26,660","2,59M","1,92%"
"24.11.2021","26,620","26,420","26,760","26,360","945,87K","0,95%"
"23.11.2021","26,370","26,180","26,680","26,040","828,90K","-0,11%"
"22.11.2021","26,400","26,100","26,540","25,900","1,03M","1,62%"
"19.11.2021","25,980","26,370","26,460","25,780","1,40M","-1,67%"
"18.11.2021","26,420","26,580","26,580","26,120","766,03K","-0,94%"
"17.11.2021","26,670","26,940","27,030","26,630","1,44M","-0,49%"
"16.11.2021","26,800","26,660","27,010","26,600","679,17K","-0,45%"
"15.11.2021","26,920","26,370","26,920","26,180","1,24M","2,16%"
"12.11.2021","26,350","26,410","26,450","26,200","6,69M","-0,19%"
"11.11.2021","26,400","26,730","27,090","26,350","5,16M","-1,49%"
"10.11.2021","26,800","26,870","27,010","26,650","1,58M","-0,26%"
"09.11.2021","26,870","27,210","27,410","26,870","1,34M","-1,68%"
"08.11.2021","27,330","27,500","27,600","27,010","681,00K","-0,26%"
"05.11.2021","27,400","27,060","27,590","26,890","2,13M","1,33%"
"04.11.2021","27,040","27,030","27,230","26,830","901,07K","0,82%"
"03.11.2021","26,820","27,180","27,210","26,740","719,07K","-1,96%"
"02.11.2021","27,356","27,405","27,514","27,168","951,34K","-0,29%"
"01.11.2021","27,435","26,782","27,751","26,782","751,09K","1,80%"
"29.10.2021","26,950","26,851","27,099","26,149","1,64M","-1,69%"
"28.10.2021","27,415","26,891","27,415","26,762","11,02M","1,61%"
"27.10.2021","26,980","26,940","27,168","26,921","6,27M","0,04%"
"26.10.2021","26,970","26,792","27,276","26,644","947,93K","0,48%"
"25.10.2021","26,841","26,871","26,881","26,535","1,01M","-0,11%"
"22.10.2021","26,871","26,495","26,921","26,466","765,38K","1,34%"
"21.10.2021","26,515","26,426","26,792","26,357","602,09K","-0,07%"
"20.10.2021","26,535","25,912","26,693","25,902","716,06K","0,98%"
"19.10.2021","26,278","26,001","26,367","25,912","486,56K","0,91%"
"18.10.2021","26,041","26,387","26,387","25,675","668,50K","-1,35%"
"15.10.2021","26,397","26,001","26,406","25,922","926,69K","2,06%"
"14.10.2021","25,863","25,991","26,248","25,487","544,36K","0,31%"
"13.10.2021","25,784","25,724","25,803","25,467","511,98K","0,08%"
"12.10.2021","25,764","25,625","25,853","25,141","802,43K","-0,50%"
"11.10.2021","25,892","25,606","25,902","25,596","1,86M","0,27%"
"08.10.2021","25,823","25,635","25,952","25,576","721,11K","0,27%"
"07.10.2021","25,754","25,260","25,873","25,260","554,47K","2,28%"
"06.10.2021","25,181","25,388","25,438","24,854","755,21K","-2,08%"
"05.10.2021","25,714","25,536","25,744","25,339","1,80M","0,70%"
"04.10.2021","25,536","25,131","25,645","25,111","1,18M","1,57%"
"01.10.2021","25,141","24,459","25,141","24,063","923,33K","0,79%"
"30.09.2021","24,943","25,457","25,606","24,755","1,10M","-1,06%"
"29.09.2021","25,210","25,200","25,368","25,121","664,66K","0,55%"
"28.09.2021","25,072","26,080","26,140","25,012","1,04M","-4,01%"
"27.09.2021","26,120","25,616","26,387","25,556","1,12M","2,88%"
"24.09.2021","25,388","24,973","25,477","24,933","701,76K","1,42%"
"23.09.2021","25,032","25,111","25,270","24,983","438,44K","0,12%"
"22.09.2021","25,003","25,190","25,279","24,874","1,81M","0,16%"
"21.09.2021","24,963","24,647","24,963","24,587","537,34K","1,90%"
"20.09.2021","24,498","23,836","24,577","23,609","1,18M","1,23%"
"17.09.2021","24,202","24,568","24,765","24,202","1,52M","-1,21%"
"16.09.2021","24,498","24,192","24,755","24,182","994,40K","1,68%"
"15.09.2021","24,093","24,597","24,785","24,093","584,58K","-2,21%"
"14.09.2021","24,637","24,558","24,746","24,498","572,79K","0,04%"
"13.09.2021","24,627","24,320","24,795","24,320","659,89K","1,59%"
"10.09.2021","24,241","24,755","24,765","24,172","833,32K","-1,96%"
"09.09.2021","24,726","24,825","24,914","24,587","921,98K","-1,19%"
"08.09.2021","25,022","24,617","25,121","24,400","893,94K","1,44%"
"07.09.2021","24,666","24,409","24,726","24,409","1,10M","0,65%"
"06.09.2021","24,508","24,716","24,726","24,479","369,16K","-0,56%"
"03.09.2021","24,647","25,082","25,309","24,627","1,00M","-1,97%"
"02.09.2021","25,141","25,111","25,428","25,082","622,51K","0,00%"
"01.09.2021","25,141","24,676","25,319","24,587","803,45K","3,71%"
"31.08.2021","24,241","24,093","24,261","24,004","1,25M","0,70%"
"30.08.2021","24,073","24,212","24,222","24,073","496,79K","-0,45%"
"27.08.2021","24,182","24,281","24,281","24,044","610,93K","-0,20%"
"26.08.2021","24,231","24,479","24,538","24,152","617,62K","-1,57%"
"25.08.2021","24,617","24,657","24,765","24,538","571,73K","0,20%"
"24.08.2021","24,568","24,568","24,686","24,400","593,63K","0,08%"
"23.08.2021","24,548","24,459","24,657","24,439","430,04K","0,73%"
"20.08.2021","24,370","24,489","24,489","24,251","564,24K","-0,72%"
"19.08.2021","24,548","24,390","24,775","24,202","614,74K","-0,68%"
"18.08.2021","24,716","24,469","24,815","24,419","592,11K","0,73%"
"17.08.2021","24,538","24,498","24,666","24,330","897,27K","-0,32%"
"16.08.2021","24,617","24,696","24,726","24,498","586,02K","-1,11%"
"13.08.2021","24,894","24,943","25,012","24,805","667,59K","-0,04%"
"12.08.2021","24,904","24,844","25,042","24,825","500,16K","0,16%"
"11.08.2021","24,864","24,360","24,894","24,360","487,51K","1,99%"
"10.08.2021","24,380","24,340","24,508","24,251","475,02K","0,00%"
"09.08.2021","24,380","24,627","24,696","24,380","1,34M","-1,64%"
"06.08.2021","24,785","24,864","24,904","24,449","580,22K","-0,20%"
"05.08.2021","24,835","24,498","24,854","24,429","513,91K","1,21%"
"04.08.2021","24,538","24,716","24,726","24,449","449,03K","-0,28%"
"03.08.2021","24,607","24,933","24,933","24,587","638,90K","-1,15%"
"02.08.2021","24,894","24,844","25,032","24,676","740,79K","0,72%"
"30.07.2021","24,716","24,953","25,131","24,617","907,78K","-1,54%"
"29.07.2021","25,101","25,171","25,339","24,884","669,46K","-0,04%"
"28.07.2021","25,111","24,933","25,171","24,390","1,16M","3,50%"
"27.07.2021","24,261","24,419","25,072","24,202","837,36K","-0,77%"
"26.07.2021","24,449","24,083","24,607","24,063","548,51K","0,53%"
"23.07.2021","24,320","24,241","24,498","24,231","622,09K","0,82%"
"22.07.2021","24,123","24,063","24,390","24,063","1,03M","0,12%"
"21.07.2021","24,093","23,747","24,172","23,717","1,17M","2,14%"
"20.07.2021","23,589","23,668","23,737","23,342","971,73K","0,46%"
"19.07.2021","23,480","24,093","24,320","23,371","1,30M","-4,16%"
"16.07.2021","24,498","24,400","24,835","24,222","1,20M","0,90%"
"15.07.2021","24,281","24,666","24,736","24,093","945,82K","-2,15%"
"14.07.2021","24,815","24,924","24,963","24,617","1,24M","-0,83%"
"13.07.2021","25,022","25,161","25,240","24,825","791,82K","-0,51%"
"12.07.2021","25,151","25,279","25,398","24,854","665,10K","-0,08%"
"09.07.2021","25,171","25,111","25,349","24,993","1,09M","0,39%"
"08.07.2021","25,072","25,339","25,339","24,854","767,03K","-1,13%"
"07.07.2021","25,359","25,270","25,734","25,270","838,19K","0,43%"
"06.07.2021","25,250","25,161","25,536","25,092","684,51K","0,08%"
