"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","32,750","33,600","33,600","32,600","329,80K","-2,82%"
"09.12.2021","33,700","34,250","34,400","33,550","310,51K","-1,03%"
"08.12.2021","34,050","34,450","34,900","33,750","794,31K","-1,45%"
"07.12.2021","34,550","33,200","34,600","33,050","449,39K","6,14%"
"06.12.2021","32,550","32,800","32,800","32,150","310,01K","1,24%"
"03.12.2021","32,150","34,200","34,250","31,950","596,90K","-5,44%"
"02.12.2021","34,000","33,800","34,300","33,650","329,82K","-0,87%"
"01.12.2021","34,300","33,200","34,400","33,200","417,16K","1,63%"
"30.11.2021","33,750","33,350","34,800","33,200","692,09K","0,00%"
"29.11.2021","33,750","33,500","34,400","33,300","385,76K","2,43%"
"26.11.2021","32,950","32,500","33,400","32,000","519,25K","-1,35%"
"25.11.2021","33,400","33,950","34,450","33,350","2,16M","-1,62%"
"24.11.2021","33,950","33,950","34,400","33,400","320,28K","-0,15%"
"23.11.2021","34,000","35,500","35,650","34,000","317,63K","-4,90%"
"22.11.2021","35,750","35,550","36,350","35,450","287,66K","0,70%"
"19.11.2021","35,500","35,000","35,950","34,550","331,56K","0,28%"
"18.11.2021","35,400","35,300","35,750","34,950","347,88K","-0,14%"
"17.11.2021","35,450","34,600","35,950","34,350","465,44K","2,90%"
"16.11.2021","34,450","33,650","34,450","33,650","442,01K","2,53%"
"15.11.2021","33,600","34,000","34,000","33,500","1,27M","-0,15%"
"12.11.2021","33,650","33,450","33,750","33,300","302,89K","0,45%"
"11.11.2021","33,500","33,300","33,900","33,050","1,18M","0,75%"
"10.11.2021","33,250","33,550","33,600","32,850","304,03K","-1,19%"
"09.11.2021","33,650","33,600","34,400","33,550","372,72K","-0,59%"
"08.11.2021","33,850","33,150","34,100","33,000","407,21K","2,27%"
"05.11.2021","33,100","33,450","33,550","32,900","657,55K","-0,60%"
"04.11.2021","33,300","32,000","33,300","32,000","749,14K","5,38%"
"03.11.2021","31,600","31,750","32,150","31,200","1,54M","-1,25%"
"02.11.2021","32,000","32,750","32,750","31,600","472,84K","-3,03%"
"01.11.2021","33,000","33,150","33,900","32,350","505,69K","-0,15%"
"29.10.2021","33,050","34,400","34,600","32,300","808,28K","-4,20%"
"28.10.2021","34,500","36,250","36,250","34,150","568,88K","-5,87%"
"27.10.2021","36,650","37,000","37,500","36,400","354,49K","-0,27%"
"26.10.2021","36,750","37,400","37,400","36,550","602,94K","-0,68%"
"25.10.2021","37,000","37,100","37,150","36,750","339,49K","0,27%"
"22.10.2021","36,900","36,600","37,450","36,400","300,24K","1,10%"
"21.10.2021","36,500","35,550","36,550","35,400","3,05M","2,24%"
"20.10.2021","35,700","34,950","36,100","34,750","1,51M","2,29%"
"19.10.2021","34,900","35,100","35,250","34,700","947,82K","-0,29%"
"18.10.2021","35,000","35,000","35,250","34,650","429,20K","-0,28%"
"15.10.2021","35,100","34,800","35,350","34,800","395,84K","2,18%"
"14.10.2021","34,350","33,850","34,400","33,850","266,98K","1,78%"
"13.10.2021","33,750","33,600","34,000","33,200","326,01K","0,75%"
"12.10.2021","33,500","32,900","34,050","32,500","424,04K","0,15%"
"11.10.2021","33,450","33,100","33,500","32,700","419,99K","0,75%"
"08.10.2021","33,200","33,600","33,900","33,200","875,89K","-2,35%"
"07.10.2021","34,000","33,300","34,050","33,100","408,11K","2,26%"
"06.10.2021","33,250","33,650","33,650","32,750","342,97K","-1,48%"
"05.10.2021","33,750","32,850","33,800","32,550","480,56K","1,81%"
"04.10.2021","33,150","33,900","34,000","32,750","810,05K","-2,07%"
"01.10.2021","33,850","33,900","34,100","33,450","406,57K","-1,74%"
"30.09.2021","34,450","34,350","34,600","34,100","515,70K","1,32%"
"29.09.2021","34,000","33,650","34,350","33,450","1,05M","1,34%"
"28.09.2021","33,550","36,950","36,950","33,250","1,54M","-8,58%"
"27.09.2021","36,700","38,000","38,000","36,550","1,56M","-2,78%"
"24.09.2021","37,750","38,050","38,050","37,500","327,17K","-0,66%"
"23.09.2021","38,000","37,550","38,250","37,450","374,97K","2,15%"
"22.09.2021","37,200","36,300","37,200","36,150","372,00K","3,48%"
"21.09.2021","35,950","35,100","36,800","35,100","2,02M","0,56%"
"20.09.2021","35,750","35,300","35,900","34,800","624,65K","0,70%"
"17.09.2021","35,500","35,900","36,300","35,400","1,87M","-0,28%"
"16.09.2021","35,600","35,100","35,750","35,050","442,86K","1,42%"
"15.09.2021","35,100","35,950","36,000","34,850","10,82M","-5,14%"
"14.09.2021","37,000","37,100","37,400","36,850","267,46K","-1,46%"
"13.09.2021","37,550","37,300","38,100","37,100","291,73K","0,54%"
"10.09.2021","37,350","37,200","37,550","36,900","260,28K","0,40%"
"09.09.2021","37,200","37,550","37,550","36,550","386,83K","-0,40%"
"08.09.2021","37,350","37,400","37,650","37,000","353,49K","-0,40%"
"07.09.2021","37,500","37,450","37,650","37,100","298,27K","0,40%"
"06.09.2021","37,350","36,650","37,550","36,500","194,94K","2,61%"
"03.09.2021","36,400","36,800","37,500","36,200","486,60K","-1,09%"
"02.09.2021","36,800","35,650","37,000","35,500","2,38M","3,23%"
"01.09.2021","35,650","35,100","36,000","34,950","410,82K","3,03%"
"31.08.2021","34,600","35,650","35,950","34,300","462,13K","-3,22%"
"30.08.2021","35,750","35,700","35,950","35,600","131,44K","-0,14%"
"27.08.2021","35,800","35,700","36,050","35,500","206,31K","0,70%"
"26.08.2021","35,550","35,800","35,800","35,000","215,55K","-0,14%"
"25.08.2021","35,600","35,450","35,750","35,350","211,96K","0,99%"
"24.08.2021","35,250","35,650","35,900","35,250","217,52K","-1,26%"
"23.08.2021","35,700","36,200","36,300","35,600","214,09K","-0,83%"
"20.08.2021","36,000","36,150","36,150","35,650","203,65K","-0,83%"
"19.08.2021","36,300","35,900","36,500","35,650","241,73K","-0,41%"
"18.08.2021","36,450","36,450","37,050","36,350","173,94K","-0,14%"
"17.08.2021","36,500","36,750","37,100","36,150","218,57K","-1,35%"
"16.08.2021","37,000","36,100","37,150","36,000","259,22K","2,07%"
"13.08.2021","36,250","35,350","36,500","34,900","376,51K","4,02%"
"12.08.2021","34,850","35,100","35,400","34,500","243,48K","-0,71%"
"11.08.2021","35,100","34,600","35,200","34,600","219,70K","1,45%"
"10.08.2021","34,600","35,200","35,500","34,400","441,17K","-2,81%"
"09.08.2021","35,600","35,800","35,800","34,700","233,27K","-0,56%"
"06.08.2021","35,800","36,150","37,300","35,750","255,50K","-0,97%"
"05.08.2021","36,150","35,900","36,150","35,550","232,14K","0,70%"
"04.08.2021","35,900","35,900","36,050","35,300","240,13K","1,27%"
"03.08.2021","35,450","36,350","36,650","35,250","297,07K","-2,34%"
"02.08.2021","36,300","34,450","36,500","34,250","474,17K","6,30%"
"30.07.2021","34,150","35,800","35,850","32,550","684,98K","-4,87%"
"29.07.2021","35,900","35,900","36,000","35,300","300,55K","0,56%"
"28.07.2021","35,700","35,100","35,850","34,850","270,50K","2,44%"
"27.07.2021","34,850","35,400","35,700","34,850","340,42K","-2,11%"
"26.07.2021","35,600","35,750","35,950","35,450","331,13K","-1,39%"
"23.07.2021","36,100","36,050","36,400","35,800","265,81K","0,28%"
"22.07.2021","36,000","34,850","36,050","34,850","243,56K","3,30%"
"21.07.2021","34,850","34,950","35,550","34,650","317,97K","-0,43%"
"20.07.2021","35,000","34,250","35,250","34,000","249,17K","2,79%"
"19.07.2021","34,050","33,950","34,300","33,400","700,95K","-1,30%"
"16.07.2021","34,500","35,500","35,500","33,750","550,71K","-2,68%"
"15.07.2021","35,450","35,850","35,950","35,300","233,07K","-0,42%"
"14.07.2021","35,600","35,700","35,950","35,250","169,89K","-0,14%"
"13.07.2021","35,650","35,750","36,000","35,350","229,85K","-0,14%"
"12.07.2021","35,700","35,250","35,700","35,000","1,19M","1,56%"
"09.07.2021","35,150","34,600","35,150","34,100","319,15K","1,88%"
"08.07.2021","34,500","35,400","35,400","33,950","485,54K","-2,54%"
"07.07.2021","35,400","35,050","35,400","34,400","275,96K","1,58%"
"06.07.2021","34,850","34,900","35,450","34,750","242,56K","-0,43%"
"05.07.2021","35,000","34,700","35,300","34,350","226,46K","0,29%"
"02.07.2021","34,900","34,450","35,100","34,450","264,14K","1,16%"
"01.07.2021","34,500","33,500","34,700","33,500","307,57K","3,14%"
"30.06.2021","33,450","33,700","34,100","33,250","264,35K","-0,59%"
"29.06.2021","33,650","33,500","33,800","33,000","371,41K","0,45%"
"28.06.2021","33,500","35,100","35,200","33,400","2,87M","-4,01%"
"25.06.2021","34,900","34,000","35,050","33,750","706,27K","1,31%"
"24.06.2021","34,450","34,450","34,550","34,050","749,89K","0,73%"
"23.06.2021","34,200","34,200","34,400","33,800","266,58K","0,15%"
"22.06.2021","34,150","33,950","34,150","33,400","249,87K","0,29%"
"21.06.2021","34,050","33,450","34,050","33,200","325,01K","0,89%"
"18.06.2021","33,750","33,950","34,050","33,400","1,54M","-0,44%"
"17.06.2021","33,900","33,300","34,250","33,300","361,18K","0,89%"
"16.06.2021","33,600","34,000","34,000","33,450","176,42K","-0,74%"
"15.06.2021","33,850","34,250","34,500","33,800","197,83K","-0,88%"
"14.06.2021","34,150","33,700","34,550","33,700","339,56K","1,64%"
"11.06.2021","33,600","33,050","34,200","33,050","286,40K","1,36%"
"10.06.2021","33,150","33,450","33,800","33,150","284,92K","-1,34%"
"09.06.2021","33,600","33,400","33,850","33,200","438,11K","1,05%"
"08.06.2021","33,250","32,900","33,350","32,900","209,90K","0,61%"
"07.06.2021","33,050","33,300","33,500","33,000","213,99K","0,00%"
"04.06.2021","33,050","32,100","33,100","32,100","288,07K","2,32%"
"03.06.2021","32,300","32,500","32,650","31,800","284,23K","-2,12%"
"02.06.2021","33,000","33,100","33,250","32,700","250,02K","-0,30%"
"01.06.2021","33,100","33,400","33,600","32,800","269,84K","0,15%"
"31.05.2021","33,050","33,100","33,500","32,700","232,03K","1,38%"
"28.05.2021","32,600","33,450","33,600","32,450","239,60K","-2,54%"
"27.05.2021","33,450","32,700","33,450","32,700","349,72K","1,67%"
"26.05.2021","32,900","33,000","33,150","32,350","311,68K","0,30%"
"25.05.2021","32,800","32,600","33,550","32,450","397,77K","1,39%"
"24.05.2021","32,350","31,450","32,450","31,450","262,32K","2,21%"
"21.05.2021","31,650","32,250","32,450","31,550","379,10K","-2,01%"
"20.05.2021","32,300","32,000","32,600","31,550","386,01K","1,10%"
"19.05.2021","31,950","31,950","32,150","31,350","317,47K","-0,62%"
"18.05.2021","32,150","32,900","32,900","31,850","461,59K","-1,53%"
"17.05.2021","32,650","31,850","33,000","31,600","473,77K","2,67%"
"14.05.2021","31,800","31,600","32,200","31,450","949,57K","0,63%"
"13.05.2021","31,600","31,650","32,350","31,400","751,83K","-0,94%"
"12.05.2021","31,900","31,000","32,000","30,850","701,22K","4,93%"
"11.05.2021","30,400","31,500","32,800","29,450","13,00M","-7,74%"
"10.05.2021","32,950","32,500","33,000","31,900","745,64K","2,01%"
"07.05.2021","32,300","31,850","32,400","31,350","372,34K","4,19%"
"06.05.2021","31,000","29,500","31,500","29,500","1,04M","5,08%"
"05.05.2021","29,500","29,150","29,600","28,950","496,40K","1,72%"
"04.05.2021","29,000","29,650","29,650","28,900","344,17K","-1,86%"
"03.05.2021","29,550","29,250","29,650","28,950","374,74K","2,25%"
"30.04.2021","28,900","28,600","29,250","28,600","368,23K","0,87%"
"29.04.2021","28,650","29,100","29,550","28,400","364,47K","-1,21%"
"28.04.2021","29,000","28,500","29,150","28,400","326,63K","1,93%"
"27.04.2021","28,450","28,650","28,700","28,250","399,30K","-0,70%"
"26.04.2021","28,650","27,900","28,650","27,400","687,86K","3,62%"
"23.04.2021","27,650","26,850","27,650","26,800","327,64K","2,98%"
"22.04.2021","26,850","26,350","26,850","26,250","410,97K","2,09%"
"21.04.2021","26,300","25,650","26,300","25,600","349,55K","3,34%"
"20.04.2021","25,450","26,050","26,150","25,150","2,39M","-1,93%"
"19.04.2021","25,950","26,800","26,800","25,600","1,81M","-3,53%"
"16.04.2021","26,900","26,550","27,000","26,400","339,43K","1,32%"
"15.04.2021","26,550","26,300","26,750","26,050","311,07K","1,53%"
"14.04.2021","26,150","25,950","26,400","25,700","237,48K","0,77%"
"13.04.2021","25,950","25,300","26,000","25,300","294,10K","2,77%"
"12.04.2021","25,250","25,450","25,550","25,100","163,76K","0,00%"
"09.04.2021","25,250","25,450","25,850","25,100","332,88K","0,60%"
"08.04.2021","25,100","25,350","25,750","25,000","222,56K","-0,79%"
"07.04.2021","25,300","24,950","25,300","24,900","311,71K","1,00%"
"06.04.2021","25,050","25,100","25,100","24,650","246,78K","1,01%"
"01.04.2021","24,800","24,350","24,900","24,350","237,39K","1,85%"
"31.03.2021","24,350","24,700","25,150","24,350","393,70K","-1,22%"
"30.03.2021","24,650","23,900","24,650","23,800","641,26K","4,45%"
"29.03.2021","23,600","23,100","23,900","22,850","356,27K","0,43%"
"26.03.2021","23,500","24,600","24,600","23,500","1,89M","-2,69%"
"25.03.2021","24,150","25,000","25,050","23,850","263,68K","-2,03%"
"24.03.2021","24,650","25,350","25,550","24,300","339,27K","3,79%"
"23.03.2021","23,750","23,900","24,250","23,450","140,19K","-0,42%"
"22.03.2021","23,850","23,300","24,200","23,300","106,14K","2,14%"
"19.03.2021","23,350","23,200","23,800","23,200","512,36K","-0,21%"
"18.03.2021","23,400","23,600","23,900","23,200","280,21K","-2,30%"
"17.03.2021","23,950","24,250","24,250","23,700","176,01K","-0,83%"
"16.03.2021","24,150","23,750","24,250","23,750","168,06K","1,90%"
"15.03.2021","23,700","24,100","24,250","23,700","138,88K","-0,42%"
"12.03.2021","23,800","24,150","24,250","23,700","151,95K","-0,83%"
"11.03.2021","24,000","23,650","24,800","23,650","296,59K","2,56%"
"10.03.2021","23,400","23,600","23,800","23,300","107,16K","-1,06%"
"09.03.2021","23,650","23,350","23,750","23,000","187,18K","1,50%"
"08.03.2021","23,300","23,300","23,350","22,850","377,40K","0,87%"
"05.03.2021","23,100","22,600","23,150","22,400","250,51K","1,54%"
"04.03.2021","22,750","22,750","22,900","22,600","156,58K","0,44%"
"03.03.2021","22,650","23,200","23,400","22,600","242,71K","-1,95%"
"02.03.2021","23,100","22,950","23,150","22,250","436,86K","1,99%"
"01.03.2021","22,650","22,500","23,050","22,200","177,86K","1,57%"
"26.02.2021","22,300","21,150","22,450","20,850","359,21K","1,36%"
"25.02.2021","22,000","20,900","22,000","20,800","195,18K","5,26%"
"24.02.2021","20,900","20,850","21,150","20,500","282,21K","0,48%"
"23.02.2021","20,800","21,600","21,600","20,500","216,40K","-3,48%"
"22.02.2021","21,550","21,850","21,850","21,400","175,07K","-1,15%"
"19.02.2021","21,800","21,650","22,000","21,150","146,73K","2,11%"
"18.02.2021","21,350","21,650","21,950","21,200","231,22K","1,67%"
"17.02.2021","21,000","21,600","21,750","21,000","177,16K","-2,33%"
"16.02.2021","21,500","21,300","21,700","21,250","97,86K","0,47%"
"15.02.2021","21,400","21,300","21,600","21,150","132,36K","1,90%"
"12.02.2021","21,000","20,700","21,250","20,400","240,12K","0,48%"
"11.02.2021","20,900","20,800","21,100","20,500","265,71K","-0,71%"
"10.02.2021","21,050","21,550","21,600","21,050","200,11K","-2,32%"
"09.02.2021","21,550","21,800","22,300","21,450","432,43K","-2,05%"
"08.02.2021","22,000","21,650","22,100","21,350","197,49K","1,15%"
"05.02.2021","21,750","20,750","21,850","20,750","254,57K","5,58%"
"04.02.2021","20,600","20,500","20,750","20,250","208,05K","0,49%"
"03.02.2021","20,500","20,500","20,850","20,200","179,33K","0,49%"
"02.02.2021","20,400","20,300","20,650","20,100","196,85K","0,74%"
"01.02.2021","20,250","19,960","20,250","19,800","198,67K","2,27%"
"29.01.2021","19,800","20,050","20,050","19,520","324,97K","-1,00%"
"28.01.2021","20,000","19,400","20,000","18,760","304,77K","3,63%"
"27.01.2021","19,300","20,200","20,200","19,000","425,62K","-3,02%"
"26.01.2021","19,900","19,960","20,300","19,700","202,53K","-0,75%"
"25.01.2021","20,050","20,150","20,500","19,860","1,88M","2,30%"
"22.01.2021","19,600","19,680","20,000","19,340","393,40K","0,51%"
"21.01.2021","19,500","19,800","20,400","19,340","633,37K","-2,40%"
"20.01.2021","19,980","20,150","20,350","18,760","37,13M","-5,31%"
"19.01.2021","21,100","21,750","21,750","20,900","94,43K","-1,86%"
"18.01.2021","21,500","20,800","21,500","20,700","74,27K","3,86%"
"15.01.2021","20,700","21,400","21,400","20,550","105,01K","-3,50%"
"14.01.2021","21,450","20,850","21,450","20,600","149,76K","3,62%"
"13.01.2021","20,700","20,200","20,750","20,150","74,00K","1,72%"
"12.01.2021","20,350","21,000","21,000","20,350","74,90K","-1,69%"
"11.01.2021","20,700","20,350","21,000","20,250","189,94K","2,22%"
"08.01.2021","20,250","20,050","20,650","20,050","96,49K","1,66%"
"07.01.2021","19,920","20,500","20,750","19,880","127,10K","-2,35%"
"06.01.2021","20,400","20,150","20,500","19,940","180,31K","1,49%"
"05.01.2021","20,100","20,200","20,250","19,840","105,17K","-0,50%"
"04.01.2021","20,200","21,000","21,000","19,820","163,52K","-3,58%"
