"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","15,410","15,400","15,630","15,285","1,25M","0,10%"
"09.12.2021","15,395","15,400","15,535","15,265","922,49K","0,26%"
"08.12.2021","15,355","15,230","15,525","15,210","1,21M","0,36%"
"07.12.2021","15,300","15,400","15,500","15,135","1,45M","0,00%"
"06.12.2021","15,300","15,460","15,470","15,080","1,18M","-0,42%"
"03.12.2021","15,365","15,670","15,720","15,330","1,39M","-1,51%"
"02.12.2021","15,600","15,845","15,875","15,520","1,56M","-1,64%"
"01.12.2021","15,860","16,220","16,480","15,730","1,40M","0,19%"
"30.11.2021","15,830","16,700","16,700","15,830","4,12M","-5,38%"
"29.11.2021","16,730","17,230","17,230","16,685","1,40M","-2,53%"
"26.11.2021","17,165","17,370","17,640","17,080","792,05K","-2,75%"
"25.11.2021","17,650","17,700","17,725","17,540","433,41K","-0,65%"
"24.11.2021","17,765","17,535","17,865","17,480","870,01K","1,40%"
"23.11.2021","17,520","17,550","17,670","17,345","907,52K","-0,20%"
"22.11.2021","17,555","17,665","17,910","17,350","879,02K","-0,37%"
"19.11.2021","17,620","17,865","17,905","17,620","1,12M","-1,18%"
"18.11.2021","17,830","18,510","18,700","17,785","927,04K","-3,12%"
"17.11.2021","18,405","18,280","18,560","18,185","701,15K","0,66%"
"16.11.2021","18,285","18,500","18,575","18,270","512,28K","-0,62%"
"15.11.2021","18,400","18,225","18,525","18,200","629,12K","0,77%"
"12.11.2021","18,260","18,200","18,285","18,015","676,70K","0,25%"
"11.11.2021","18,215","18,485","18,510","18,025","1,09M","-1,67%"
"10.11.2021","18,525","18,435","18,610","18,350","1,44M","0,49%"
"09.11.2021","18,435","18,445","18,730","18,350","764,19K","0,35%"
"08.11.2021","18,370","18,525","18,730","18,335","1,05M","-0,70%"
"05.11.2021","18,500","18,700","18,850","18,160","1,85M","-1,86%"
"04.11.2021","18,850","19,310","19,375","18,800","1,37M","-2,33%"
"03.11.2021","19,300","19,860","19,860","19,300","970,64K","-2,57%"
"02.11.2021","19,810","19,800","19,845","19,595","771,35K","0,18%"
"01.11.2021","19,775","19,880","20,000","19,675","567,49K","-0,10%"
"29.10.2021","19,795","19,840","19,985","19,650","957,89K","-0,23%"
"28.10.2021","19,840","19,880","19,990","19,740","607,18K","-0,05%"
"27.10.2021","19,850","20,220","20,390","19,850","651,62K","-2,36%"
"26.10.2021","20,330","20,340","20,600","20,220","498,54K","-0,54%"
"25.10.2021","20,440","20,280","20,440","20,040","908,96K","1,19%"
"22.10.2021","20,200","20,460","20,540","20,150","717,57K","-0,93%"
"21.10.2021","20,390","19,930","20,400","19,850","617,41K","1,85%"
"20.10.2021","20,020","19,950","20,090","19,770","670,23K","0,63%"
