"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","5,732","5,850","5,898","5,732","928,59K","-2,05%"
"09.12.2021","5,852","6,078","6,078","5,852","718,61K","-2,86%"
"08.12.2021","6,024","5,990","6,088","5,720","1,39M","1,01%"
"07.12.2021","5,964","5,990","6,108","5,906","933,30K","1,36%"
"06.12.2021","5,884","5,708","5,884","5,602","855,37K","4,36%"
"03.12.2021","5,638","5,662","5,776","5,610","704,49K","1,00%"
"02.12.2021","5,582","5,580","5,722","5,516","1,41M","-1,55%"
"01.12.2021","5,670","5,588","5,770","5,544","912,99K","2,79%"
"30.11.2021","5,516","5,650","5,758","5,492","2,06M","-3,67%"
"29.11.2021","5,726","5,910","5,980","5,700","1,93M","-1,92%"
"26.11.2021","5,838","6,010","6,072","5,676","3,07M","-7,77%"
"25.11.2021","6,330","6,150","6,366","6,112","1,22M","5,64%"
"24.11.2021","5,992","5,922","6,018","5,844","1,13M","0,84%"
"23.11.2021","5,942","5,986","6,068","5,880","1,14M","-0,80%"
"22.11.2021","5,990","6,064","6,160","5,850","1,82M","-1,22%"
"19.11.2021","6,064","6,164","6,186","5,958","2,32M","-1,24%"
"18.11.2021","6,140","6,306","6,338","6,094","1,36M","-1,67%"
"17.11.2021","6,244","6,538","6,538","6,240","1,52M","-4,00%"
"16.11.2021","6,504","6,520","6,792","6,466","1,78M","1,91%"
"15.11.2021","6,382","6,338","6,540","6,282","911,40K","0,50%"
"12.11.2021","6,350","6,540","6,540","6,314","1,04M","-2,40%"
"11.11.2021","6,506","6,682","6,682","6,366","1,49M","-2,90%"
"10.11.2021","6,700","6,752","6,894","6,652","1,98M","-1,79%"
"09.11.2021","6,822","6,660","6,872","6,640","2,09M","1,40%"
"08.11.2021","6,728","6,784","6,920","6,618","1,91M","-2,58%"
"05.11.2021","6,906","6,420","6,910","6,250","2,15M","8,18%"
"04.11.2021","6,384","6,394","6,486","6,338","659,64K","0,09%"
"03.11.2021","6,378","6,390","6,406","6,226","741,13K","0,16%"
"02.11.2021","6,368","6,412","6,470","6,344","525,86K","-1,06%"
"01.11.2021","6,436","6,352","6,530","6,350","890,64K","1,16%"
"29.10.2021","6,362","6,250","6,430","6,230","703,60K","-0,72%"
"28.10.2021","6,408","6,364","6,432","6,228","1,16M","1,68%"
"27.10.2021","6,302","6,302","6,336","6,152","900,60K","-0,51%"
"26.10.2021","6,334","6,294","6,478","6,250","892,77K","1,41%"
"25.10.2021","6,246","6,282","6,352","6,122","1,61M","-1,51%"
"22.10.2021","6,342","6,450","6,450","6,216","1,35M","-0,60%"
"21.10.2021","6,380","6,312","6,462","6,190","1,18M","0,41%"
"20.10.2021","6,354","6,834","6,834","6,310","2,51M","-6,91%"
"19.10.2021","6,826","7,010","7,034","6,808","820,18K","-2,65%"
"18.10.2021","7,012","7,032","7,080","6,910","1,16M","-1,07%"
"15.10.2021","7,088","6,778","7,088","6,778","1,49M","4,70%"
"14.10.2021","6,770","6,768","6,868","6,740","732,96K","1,20%"
"13.10.2021","6,690","6,628","6,826","6,628","949,91K","0,24%"
"12.10.2021","6,674","6,640","6,728","6,612","509,53K","-0,83%"
"11.10.2021","6,730","6,616","6,734","6,606","472,69K","0,36%"
"08.10.2021","6,706","6,590","6,774","6,588","641,95K","1,45%"
"07.10.2021","6,610","6,560","6,632","6,528","650,24K","1,54%"
"06.10.2021","6,510","6,652","6,652","6,400","1,10M","-3,01%"
"05.10.2021","6,712","6,766","6,828","6,586","764,60K","-0,97%"
"04.10.2021","6,778","6,736","6,890","6,700","1,01M","-0,44%"
"01.10.2021","6,808","6,316","6,808","6,252","1,27M","5,88%"
"30.09.2021","6,430","6,690","6,716","6,400","961,62K","-3,16%"
"29.09.2021","6,640","6,570","6,708","6,510","930,19K","0,85%"
"28.09.2021","6,584","6,690","6,748","6,554","1,25M","-1,61%"
"27.09.2021","6,692","6,490","6,718","6,470","1,40M","3,88%"
"24.09.2021","6,442","6,292","6,464","6,260","986,80K","2,25%"
"23.09.2021","6,300","6,140","6,320","6,140","1,05M","2,51%"
"22.09.2021","6,146","5,958","6,146","5,958","1,56M","3,09%"
"21.09.2021","5,962","5,864","5,988","5,864","1,26M","0,47%"
"20.09.2021","5,934","5,800","5,990","5,660","1,20M","1,19%"
"17.09.2021","5,864","5,800","5,972","5,800","974,93K","2,05%"
"16.09.2021","5,746","5,648","5,766","5,608","660,89K","3,57%"
"15.09.2021","5,548","5,710","5,736","5,538","753,55K","-2,67%"
"14.09.2021","5,700","5,754","5,816","5,690","723,00K","-1,32%"
"13.09.2021","5,776","5,730","5,780","5,646","1,85M","1,44%"
"10.09.2021","5,694","5,852","5,860","5,688","591,94K","-2,67%"
"09.09.2021","5,850","5,760","5,860","5,630","736,62K","1,11%"
"08.09.2021","5,786","5,700","5,944","5,674","782,43K","0,77%"
"07.09.2021","5,742","5,704","5,820","5,654","791,31K","0,49%"
"06.09.2021","5,714","5,826","5,842","5,712","679,35K","-1,52%"
"03.09.2021","5,802","6,024","6,030","5,802","736,64K","-3,27%"
"02.09.2021","5,998","6,022","6,052","5,942","389,98K","-0,89%"
"01.09.2021","6,052","5,970","6,128","5,954","673,12K","2,30%"
"31.08.2021","5,916","6,100","6,100","5,864","714,66K","-1,33%"
"30.08.2021","5,996","6,084","6,122","5,976","267,53K","-1,32%"
"27.08.2021","6,076","6,074","6,076","5,942","662,98K","0,36%"
"26.08.2021","6,054","6,100","6,162","6,046","574,99K","-1,78%"
"25.08.2021","6,164","6,140","6,216","6,098","1,13M","0,92%"
