"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","1,605","1,600","1,624","1,592","10,68M","-0,19%"
"09.12.2021","1,608","1,665","1,669","1,596","15,13M","-3,04%"
"08.12.2021","1,658","1,660","1,690","1,571","37,36M","-0,87%"
"07.12.2021","1,673","1,706","1,717","1,662","22,96M","0,27%"
"06.12.2021","1,668","1,576","1,671","1,551","21,76M","7,89%"
"03.12.2021","1,546","1,604","1,609","1,538","17,52M","-0,83%"
"02.12.2021","1,559","1,536","1,587","1,520","22,31M","0,22%"
"01.12.2021","1,556","1,525","1,598","1,507","27,64M","3,80%"
"30.11.2021","1,499","1,529","1,556","1,483","47,69M","-3,32%"
"29.11.2021","1,551","1,580","1,638","1,532","49,49M","0,00%"
"26.11.2021","1,551","1,657","1,694","1,533","131,18M","-15,59%"
"25.11.2021","1,837","1,831","1,847","1,794","9,01M","0,91%"
"24.11.2021","1,821","1,800","1,832","1,744","17,86M","0,86%"
"23.11.2021","1,806","1,770","1,846","1,750","14,67M","2,06%"
"22.11.2021","1,769","1,772","1,826","1,749","18,34M","-0,06%"
"19.11.2021","1,770","1,841","1,842","1,728","38,02M","-3,49%"
"18.11.2021","1,834","1,871","1,880","1,818","12,23M","-0,92%"
"17.11.2021","1,851","1,880","1,916","1,850","18,24M","-2,48%"
"16.11.2021","1,898","1,926","1,967","1,893","14,72M","-1,27%"
"15.11.2021","1,923","1,925","1,979","1,887","14,80M","-0,54%"
"12.11.2021","1,933","1,980","2,000","1,931","10,66M","-2,05%"
"11.11.2021","1,974","2,025","2,032","1,947","17,04M","-3,07%"
"10.11.2021","2,036","2,025","2,073","1,992","15,11M","0,20%"
"09.11.2021","2,032","2,060","2,090","2,032","10,50M","-1,88%"
"08.11.2021","2,071","2,093","2,134","2,038","16,41M","-1,15%"
"05.11.2021","2,095","1,990","2,100","1,903","40,72M","6,13%"
"04.11.2021","1,974","1,997","2,023","1,964","13,07M","0,20%"
"03.11.2021","1,970","1,930","2,006","1,923","18,13M","2,71%"
"02.11.2021","1,918","1,975","1,991","1,918","9,46M","-2,59%"
"01.11.2021","1,969","1,919","1,980","1,907","10,85M","1,78%"
"29.10.2021","1,934","1,904","1,948","1,900","7,43M","0,86%"
