"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","9,738","9,806","9,872","9,704","8,66M","-1,30%"
"09.12.2021","9,866","10,030","10,035","9,842","9,39M","-1,44%"
"08.12.2021","10,010","10,050","10,120","9,980","10,18M","-0,50%"
"07.12.2021","10,060","9,972","10,085","9,950","9,65M","0,98%"
"06.12.2021","9,962","9,760","9,962","9,726","11,07M","2,76%"
"03.12.2021","9,694","9,706","9,768","9,618","28,35M","0,66%"
"02.12.2021","9,630","9,860","9,920","9,630","19,57M","-4,27%"
"01.12.2021","10,060","9,896","10,080","9,870","12,86M","1,58%"
"30.11.2021","9,904","9,898","10,040","9,688","56,34M","-0,12%"
"29.11.2021","9,916","9,942","10,065","9,898","10,02M","-0,30%"
"26.11.2021","9,946","9,984","10,180","9,908","19,18M","-3,11%"
"25.11.2021","10,265","10,085","10,295","10,085","11,12M","1,78%"
"24.11.2021","10,085","10,050","10,185","10,025","10,02M","0,45%"
"23.11.2021","10,040","9,978","10,055","9,864","21,33M","0,15%"
"22.11.2021","10,025","10,030","10,105","9,906","9,19M","-0,64%"
"19.11.2021","10,090","10,200","10,200","10,030","14,88M","-0,69%"
"18.11.2021","10,160","10,200","10,210","10,085","8,17M","-0,34%"
"17.11.2021","10,195","10,215","10,220","10,135","6,31M","0,05%"
"16.11.2021","10,190","10,150","10,225","10,125","6,33M","-0,05%"
"15.11.2021","10,195","10,055","10,200","9,988","7,16M","1,24%"
"12.11.2021","10,070","10,025","10,100","10,000","6,75M","-0,54%"
"11.11.2021","10,125","10,150","10,195","10,080","16,40M","-0,34%"
"10.11.2021","10,160","10,050","10,195","10,030","6,31M","0,59%"
"09.11.2021","10,100","10,100","10,140","10,010","9,16M","-0,35%"
"08.11.2021","10,135","10,290","10,335","10,115","8,09M","-1,36%"
"05.11.2021","10,275","10,200","10,330","10,165","10,23M","0,69%"
"04.11.2021","10,205","10,070","10,225","9,994","9,70M","0,64%"
"03.11.2021","10,140","10,295","10,305","10,095","13,59M","-1,51%"
"02.11.2021","10,295","10,305","10,335","10,240","18,13M","0,00%"
"01.11.2021","10,295","10,165","10,325","10,165","13,85M","0,78%"
"29.10.2021","10,215","10,240","10,250","10,145","15,58M","-0,34%"
"28.10.2021","10,250","10,095","10,280","9,984","26,93M","1,99%"
"27.10.2021","10,050","9,900","10,095","9,876","14,76M","1,66%"
"26.10.2021","9,886","9,682","9,928","9,680","14,35M","2,45%"
"25.10.2021","9,650","9,742","9,772","9,622","7,78M","-0,68%"
"22.10.2021","9,716","9,684","9,820","9,656","13,27M","-0,37%"
"21.10.2021","9,752","9,740","9,836","9,730","15,85M","-0,83%"
"20.10.2021","9,834","9,544","9,866","9,544","18,34M","1,95%"
"19.10.2021","9,646","9,500","9,696","9,478","11,36M","2,68%"
"18.10.2021","9,394","9,442","9,504","9,292","7,76M","-0,57%"
"15.10.2021","9,448","9,620","9,654","9,404","19,60M","-1,50%"
"14.10.2021","9,592","9,516","9,772","9,446","19,22M","1,16%"
"13.10.2021","9,482","9,318","9,532","9,216","16,40M","1,30%"
"12.10.2021","9,360","9,204","9,376","9,150","10,47M","0,91%"
"11.10.2021","9,276","9,466","9,482","9,240","9,73M","-1,70%"
"08.10.2021","9,436","9,652","9,652","9,278","20,25M","0,23%"
"07.10.2021","9,414","9,300","9,450","9,156","26,29M","7,00%"
"06.10.2021","8,798","8,796","8,854","8,644","11,91M","0,11%"
"05.10.2021","8,788","8,684","8,812","8,612","12,36M","1,74%"
"04.10.2021","8,638","8,750","8,800","8,634","11,47M","-1,03%"
"01.10.2021","8,728","8,626","8,786","8,586","11,65M","0,51%"
"30.09.2021","8,684","8,982","8,996","8,684","15,10M","-2,80%"
"29.09.2021","8,934","9,006","9,084","8,894","15,08M","-0,51%"
"28.09.2021","8,980","9,200","9,212","8,980","14,89M","-2,35%"
"27.09.2021","9,196","9,270","9,272","9,182","8,69M","-0,24%"
"24.09.2021","9,218","9,268","9,298","9,170","9,03M","-0,88%"
"23.09.2021","9,300","9,326","9,418","9,294","10,11M","0,50%"
"22.09.2021","9,254","9,266","9,408","9,242","14,87M","-0,86%"
"21.09.2021","9,334","9,344","9,458","9,300","14,50M","0,78%"
"20.09.2021","9,262","9,280","9,334","9,140","21,75M","-0,98%"
"17.09.2021","9,354","9,430","9,534","9,354","26,99M","-0,17%"
"16.09.2021","9,370","9,500","9,508","9,172","28,61M","-1,33%"
"15.09.2021","9,496","10,010","10,045","9,486","25,91M","-5,79%"
"14.09.2021","10,080","10,080","10,190","10,040","18,07M","-1,71%"
"13.09.2021","10,255","10,110","10,285","10,095","9,44M","1,84%"
"10.09.2021","10,070","10,275","10,285","10,030","14,49M","-2,00%"
"09.09.2021","10,275","10,260","10,315","10,200","10,50M","-0,72%"
"08.09.2021","10,350","10,320","10,375","10,150","12,45M","-0,29%"
"07.09.2021","10,380","10,400","10,400","10,285","10,65M","-0,34%"
"06.09.2021","10,415","10,500","10,535","10,405","6,29M","-1,33%"
"03.09.2021","10,555","10,610","10,670","10,460","10,73M","-0,66%"
"02.09.2021","10,625","10,550","10,665","10,550","8,28M","0,38%"
"01.09.2021","10,585","10,515","10,695","10,515","8,59M","0,86%"
"31.08.2021","10,495","10,430","10,605","10,420","11,83M","0,43%"
"30.08.2021","10,450","10,445","10,470","10,400","5,25M","0,00%"
"27.08.2021","10,450","10,455","10,490","10,405","5,75M","-0,24%"
"26.08.2021","10,475","10,500","10,525","10,405","11,03M","-0,52%"
