"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","28,400","28,390","28,800","28,210","2,45M","0,42%"
"09.12.2021","28,280","28,700","28,790","28,210","3,19M","-1,81%"
"08.12.2021","28,800","29,720","29,890","28,720","5,03M","-2,90%"
"07.12.2021","29,660","28,990","29,660","28,690","4,06M","3,63%"
"06.12.2021","28,620","28,160","28,620","27,940","2,96M","2,76%"
"03.12.2021","27,850","28,630","28,730","27,800","3,01M","-1,94%"
"02.12.2021","28,400","28,790","29,220","28,210","4,01M","-2,44%"
"01.12.2021","29,110","29,000","29,230","28,250","3,89M","4,49%"
"30.11.2021","27,860","28,500","28,730","27,740","10,25M","-6,10%"
"29.11.2021","29,670","29,550","30,130","29,360","2,92M","1,47%"
"26.11.2021","29,240","30,050","30,300","29,000","5,18M","-4,94%"
"25.11.2021","30,760","31,300","31,330","30,350","3,93M","-1,13%"
"24.11.2021","31,110","31,880","31,880","30,830","3,26M","-2,42%"
"23.11.2021","31,880","30,960","32,240","30,790","2,50M","2,71%"
"22.11.2021","31,040","30,570","31,250","30,550","2,40M","1,87%"
"19.11.2021","30,470","32,000","32,040","30,290","4,38M","-4,21%"
"18.11.2021","31,810","31,580","31,950","31,450","2,75M","0,82%"
"17.11.2021","31,550","31,560","31,780","31,340","3,43M","-0,57%"
"16.11.2021","31,730","31,740","31,900","31,380","2,09M","-0,31%"
"15.11.2021","31,830","31,760","31,860","31,530","3,15M","0,09%"
"12.11.2021","31,800","31,670","31,960","31,580","8,91M","0,09%"
"11.11.2021","31,770","32,130","32,190","31,770","6,29M","-1,58%"
"10.11.2021","32,280","31,720","32,280","31,670","4,57M","1,22%"
"09.11.2021","31,890","31,370","31,980","31,270","12,37M","1,33%"
"08.11.2021","31,470","32,100","32,100","31,270","39,76M","-2,48%"
"05.11.2021","32,270","32,110","32,340","31,760","12,20M","0,25%"
"04.11.2021","32,190","31,640","32,190","31,480","13,11M","2,22%"
"03.11.2021","31,490","31,790","31,840","31,170","10,99M","-0,76%"
"02.11.2021","31,730","32,120","32,410","31,730","13,96M","-0,97%"
"01.11.2021","32,040","31,380","32,150","31,320","7,77M","2,56%"
"29.10.2021","31,240","30,700","31,240","30,590","2,70M","0,61%"
"28.10.2021","31,050","30,720","31,230","30,680","5,46M","0,75%"
"27.10.2021","30,820","30,740","31,000","30,480","2,30M","-0,23%"
"26.10.2021","30,890","30,720","31,180","30,690","1,55M","0,59%"
"25.10.2021","30,710","31,020","31,030","30,630","31,94M","-0,16%"
"22.10.2021","30,760","31,360","31,370","30,760","8,08M","-1,73%"
"21.10.2021","31,300","31,260","31,340","30,900","7,65M","-0,57%"
"20.10.2021","31,480","31,700","31,890","31,220","20,06M","-0,82%"
"19.10.2021","31,740","31,520","31,780","31,270","28,67M","1,70%"
"18.10.2021","31,210","31,110","31,210","30,790","6,81M","0,19%"
"15.10.2021","31,150","30,430","31,220","30,410","2,59M","2,53%"
"14.10.2021","30,380","30,640","30,690","30,350","1,95M","-0,07%"
"13.10.2021","30,400","30,320","30,580","30,040","9,80M","0,16%"
"12.10.2021","30,350","30,500","30,790","30,150","7,42M","-1,49%"
"11.10.2021","30,810","31,030","31,150","30,630","2,48M","-1,63%"
"08.10.2021","31,320","31,380","31,760","31,320","1,94M","-0,57%"
"07.10.2021","31,500","30,770","31,530","30,770","2,14M","2,54%"
"06.10.2021","30,720","31,870","31,870","30,720","4,05M","-4,57%"
"05.10.2021","32,190","31,820","32,210","31,720","1,88M","1,71%"
"04.10.2021","31,650","31,930","32,250","31,610","1,49M","-1,16%"
"01.10.2021","32,020","31,550","32,040","31,320","2,00M","0,63%"
"30.09.2021","31,820","32,450","32,630","31,820","3,19M","-1,15%"
"29.09.2021","32,190","31,650","32,240","31,360","2,99M","3,04%"
"28.09.2021","31,240","32,110","32,240","31,210","2,67M","-3,16%"
"27.09.2021","32,260","31,950","32,360","31,870","9,27M","1,90%"
"24.09.2021","31,660","31,990","32,040","31,660","2,58M","-1,19%"
"23.09.2021","32,040","32,450","32,540","31,990","4,44M","-0,47%"
"22.09.2021","32,190","32,500","32,630","31,940","7,42M","-0,68%"
"21.09.2021","32,410","31,840","32,410","31,660","7,44M","2,01%"
"20.09.2021","31,770","31,040","31,990","30,910","5,73M","0,19%"
"17.09.2021","31,710","31,420","31,890","31,320","5,10M","1,47%"
"16.09.2021","31,250","29,990","31,430","29,980","6,64M","5,29%"
"15.09.2021","29,680","30,260","30,490","29,480","3,13M","-1,66%"
"14.09.2021","30,180","29,980","30,180","29,810","2,83M","2,31%"
"13.09.2021","29,500","29,380","29,690","29,000","2,34M","0,27%"
"10.09.2021","29,420","29,460","29,690","29,300","3,19M","-0,14%"
"09.09.2021","29,460","29,500","29,610","29,130","1,86M","-0,94%"
"08.09.2021","29,740","29,760","30,070","29,340","2,43M","-0,03%"
"07.09.2021","29,750","29,810","29,810","29,570","1,67M","0,00%"
"06.09.2021","29,750","29,600","29,960","29,580","2,11M","0,61%"
"03.09.2021","29,570","29,880","29,880","29,470","2,70M","-0,77%"
"02.09.2021","29,800","29,780","30,050","29,660","12,39M","0,00%"
"01.09.2021","29,800","29,290","30,090","29,200","2,01M","3,08%"
"31.08.2021","28,910","29,110","29,170","28,550","5,57M","0,00%"
"30.08.2021","28,910","28,990","29,100","28,800","842,33K","-0,17%"
"27.08.2021","28,960","28,920","29,100","28,720","1,23M","0,45%"
"26.08.2021","28,830","29,040","29,100","28,650","1,75M","-1,27%"
"25.08.2021","29,200","29,380","29,460","29,190","2,76M","-1,72%"
"24.08.2021","29,710","29,940","30,090","29,260","1,26M","-0,30%"
"23.08.2021","29,800","30,060","30,200","29,610","2,55M","0,03%"
"20.08.2021","29,790","29,140","29,980","29,080","3,33M","2,27%"
"19.08.2021","29,130","29,210","29,350","28,990","2,38M","-1,59%"
"18.08.2021","29,600","29,180","29,700","29,010","1,83M","1,34%"
"17.08.2021","29,210","29,220","29,320","29,070","1,19M","-0,85%"
"16.08.2021","29,460","29,630","29,690","29,260","2,23M","-1,73%"
"13.08.2021","29,980","29,800","30,140","29,690","4,75M","0,77%"
"12.08.2021","29,750","29,300","29,800","29,290","1,77M","1,40%"
"11.08.2021","29,340","28,930","29,530","28,930","2,18M","1,91%"
"10.08.2021","28,790","28,760","28,970","28,560","5,19M","0,56%"
"09.08.2021","28,630","28,730","28,780","28,480","7,12M","-0,10%"
"06.08.2021","28,660","28,850","28,860","28,620","1,91M","-0,42%"
"05.08.2021","28,780","28,690","28,880","28,550","1,04M","0,45%"
"04.08.2021","28,650","29,040","29,050","28,580","1,26M","-0,76%"
"03.08.2021","28,870","29,130","29,290","28,730","1,43M","-0,79%"
"02.08.2021","29,100","28,810","29,530","28,750","13,04M","1,78%"
"30.07.2021","28,590","28,500","28,720","28,270","2,52M","-0,14%"
"29.07.2021","28,630","28,670","28,920","28,470","11,06M","0,35%"
"28.07.2021","28,530","28,430","28,680","28,380","1,61M","0,53%"
"27.07.2021","28,380","28,590","28,680","28,300","2,30M","-1,70%"
"26.07.2021","28,870","28,630","28,970","28,520","1,82M","0,10%"
"23.07.2021","28,840","28,600","28,990","28,490","1,94M","1,55%"
"22.07.2021","28,400","28,550","29,000","28,400","1,71M","-0,04%"
"21.07.2021","28,410","28,040","28,680","27,980","2,96M","2,30%"
"20.07.2021","27,770","27,810","27,960","27,510","2,18M","0,98%"
"19.07.2021","27,500","27,900","27,940","27,300","3,88M","-2,10%"
"16.07.2021","28,090","27,900","28,350","27,570","4,04M","1,41%"
"15.07.2021","27,700","29,100","29,100","27,700","6,51M","-5,43%"
"14.07.2021","29,290","29,330","29,490","29,110","1,48M","-0,10%"
"13.07.2021","29,320","29,730","29,870","29,280","2,08M","-1,48%"
"12.07.2021","29,760","29,760","29,910","29,310","1,13M","0,10%"
"09.07.2021","29,730","29,320","29,750","29,240","2,11M","1,99%"
"08.07.2021","29,150","29,510","29,680","28,750","3,64M","-1,85%"
"07.07.2021","29,700","29,730","29,890","29,620","1,75M","0,00%"
"06.07.2021","29,700","29,820","29,940","29,510","1,50M","-0,90%"
"05.07.2021","29,970","29,670","30,090","29,590","969,03K","0,77%"
"02.07.2021","29,740","30,000","30,020","29,580","1,73M","-0,77%"
"01.07.2021","29,970","29,850","30,250","29,680","4,18M","0,88%"
"30.06.2021","29,710","29,900","30,040","29,390","3,77M","-0,83%"
"29.06.2021","29,960","30,110","30,320","29,940","2,90M","-0,07%"
"28.06.2021","29,980","30,750","30,820","29,930","2,22M","-2,63%"
"25.06.2021","30,790","30,910","30,950","30,610","1,48M","-0,23%"
"24.06.2021","30,860","30,620","30,970","30,500","2,86M","1,61%"
"23.06.2021","30,370","30,860","30,870","30,370","1,35M","-1,01%"
"22.06.2021","30,680","30,600","30,850","30,310","1,57M","0,26%"
"21.06.2021","30,600","30,400","30,700","30,180","3,64M","0,39%"
"18.06.2021","30,480","31,130","31,540","30,480","5,37M","-2,40%"
"17.06.2021","31,230","30,850","31,280","30,850","2,82M","0,55%"
"16.06.2021","31,060","31,240","31,250","30,970","2,08M","-0,06%"
"15.06.2021","31,080","31,980","31,980","31,070","3,09M","-2,23%"
"14.06.2021","31,790","31,500","31,910","31,410","2,08M","1,50%"
"11.06.2021","31,320","31,420","31,700","31,140","3,90M","0,77%"
"10.06.2021","31,080","31,650","31,800","30,900","3,77M","-1,65%"
"09.06.2021","31,600","32,350","32,850","31,510","2,74M","-2,17%"
"08.06.2021","32,300","32,250","32,390","31,890","4,98M","-0,25%"
"07.06.2021","32,380","31,530","32,440","31,480","4,63M","2,24%"
"04.06.2021","31,670","31,590","31,820","31,470","1,39M","0,09%"
"03.06.2021","31,640","31,890","31,940","31,420","1,35M","-0,47%"
"02.06.2021","31,790","31,860","32,030","31,670","1,39M","0,06%"
"01.06.2021","31,770","31,760","31,980","31,660","1,49M","0,25%"
"31.05.2021","31,690","31,900","31,970","31,640","1,25M","-0,72%"
"28.05.2021","31,920","31,300","31,970","31,300","2,27M","2,54%"
"27.05.2021","31,130","31,920","32,030","31,130","6,80M","-2,60%"
"26.05.2021","31,960","32,170","32,390","31,840","3,03M","-0,16%"
"25.05.2021","32,010","32,250","32,350","31,890","3,41M","-0,62%"
"24.05.2021","32,210","32,480","32,490","32,000","1,00M","-0,62%"
"21.05.2021","32,410","31,880","32,410","31,800","2,72M","1,50%"
"20.05.2021","31,930","32,130","32,150","31,660","2,95M","-0,47%"
"19.05.2021","32,080","32,300","32,350","31,680","2,26M","-1,41%"
"18.05.2021","32,540","32,410","32,650","31,940","3,87M","0,71%"
"17.05.2021","32,310","31,860","32,310","31,760","2,38M","2,12%"
"14.05.2021","31,640","30,920","31,690","30,900","2,34M","3,20%"
"13.05.2021","30,660","30,440","30,810","30,020","1,50M","-0,13%"
"12.05.2021","30,700","30,840","30,860","30,240","5,76M","-0,42%"
"11.05.2021","30,830","30,880","31,120","30,680","10,39M","-1,88%"
"10.05.2021","31,420","31,000","31,420","30,780","6,68M","2,08%"
"07.05.2021","30,780","31,300","31,310","30,580","2,43M","-1,16%"
"06.05.2021","31,140","30,600","31,140","30,580","14,69M","1,86%"
"05.05.2021","30,570","30,210","30,570","29,960","39,22M","1,53%"
"04.05.2021","30,110","30,020","30,460","29,940","14,51M","0,37%"
