"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","10,430","10,440","10,510","10,380","549,82K","-0,48%"
"09.12.2021","10,480","10,560","10,560","10,450","400,97K","0,29%"
"08.12.2021","10,450","10,500","10,550","10,400","500,28K","-0,19%"
"07.12.2021","10,470","10,330","10,490","10,300","418,23K","2,35%"
"06.12.2021","10,230","10,190","10,330","10,080","516,61K","1,89%"
"03.12.2021","10,040","10,090","10,230","9,965","632,64K","-0,20%"
"02.12.2021","10,060","10,100","10,190","9,965","591,46K","-1,37%"
"01.12.2021","10,200","10,310","10,320","10,150","542,78K","-0,78%"
"30.11.2021","10,280","10,200","10,380","10,110","745,31K","0,10%"
"29.11.2021","10,270","10,210","10,400","10,180","581,80K","1,08%"
"26.11.2021","10,160","10,130","10,330","10,090","692,62K","-2,78%"
"25.11.2021","10,450","10,350","10,510","10,320","750,96K","1,16%"
"24.11.2021","10,330","10,280","10,340","10,140","556,08K","0,29%"
"23.11.2021","10,300","10,250","10,370","10,220","506,21K","-0,48%"
"22.11.2021","10,350","10,520","10,540","10,300","592,69K","-1,52%"
"19.11.2021","10,510","10,740","10,740","10,480","512,15K","-1,22%"
"18.11.2021","10,640","10,600","10,850","10,420","555,27K","-0,75%"
"17.11.2021","10,720","10,990","11,080","10,720","675,18K","-2,72%"
"16.11.2021","11,020","10,850","11,050","10,850","577,80K","1,01%"
"15.11.2021","10,910","10,970","10,970","10,680","599,07K","-0,37%"
"12.11.2021","10,950","11,100","11,100","10,930","646,50K","-1,26%"
"11.11.2021","11,090","10,950","11,090","10,940","623,68K","0,91%"
"10.11.2021","10,990","10,860","11,040","10,860","1,20M","0,64%"
"09.11.2021","10,920","10,720","10,950","10,720","736,70K","1,30%"
"08.11.2021","10,780","10,720","10,850","10,690","851,25K","0,00%"
"05.11.2021","10,780","10,670","10,900","10,640","1,01M","0,84%"
"04.11.2021","10,690","10,500","10,700","10,480","732,58K","2,00%"
"03.11.2021","10,480","10,340","10,480","10,290","511,54K","1,55%"
"02.11.2021","10,320","10,370","10,450","10,290","543,91K","-0,86%"
"01.11.2021","10,410","10,440","10,580","10,340","793,33K","-0,38%"
"29.10.2021","10,450","10,340","10,450","10,170","1,21M","0,67%"
"28.10.2021","10,380","9,750","10,440","9,655","3,81M","8,58%"
"27.10.2021","9,560","9,505","9,560","9,455","353,66K","-0,10%"
"26.10.2021","9,570","9,590","9,670","9,520","386,01K","-0,31%"
"25.10.2021","9,600","9,570","9,710","9,510","481,80K","0,84%"
"22.10.2021","9,520","9,500","9,560","9,410","306,98K","0,37%"
"21.10.2021","9,485","9,530","9,600","9,455","311,60K","-0,05%"
"20.10.2021","9,490","9,450","9,655","9,430","470,57K","-0,37%"
"19.10.2021","9,525","9,440","9,570","9,440","530,62K","1,22%"
"18.10.2021","9,410","9,500","9,500","9,380","256,85K","-0,63%"
"15.10.2021","9,470","9,430","9,520","9,415","397,34K","0,53%"
"14.10.2021","9,420","9,300","9,465","9,280","804,36K","2,06%"
"13.10.2021","9,230","8,770","9,275","8,765","822,71K","2,96%"
"12.10.2021","8,965","8,850","9,010","8,785","532,93K","0,39%"
"11.10.2021","8,930","9,020","9,040","8,845","689,22K","-1,65%"
"08.10.2021","9,080","8,920","9,170","8,915","757,11K","1,85%"
"07.10.2021","8,915","9,070","9,070","8,785","795,44K","0,22%"
"06.10.2021","8,895","9,100","9,190","8,890","762,22K","-3,37%"
"05.10.2021","9,205","9,020","9,205","9,005","426,06K","2,05%"
"04.10.2021","9,020","9,190","9,235","8,970","552,91K","-1,80%"
"01.10.2021","9,185","9,145","9,220","9,020","520,79K","-1,02%"
"30.09.2021","9,280","9,220","9,450","9,220","755,49K","1,37%"
"29.09.2021","9,155","9,195","9,235","9,030","578,43K","0,00%"
"28.09.2021","9,155","9,470","9,525","9,155","1,17M","-3,83%"
"27.09.2021","9,520","9,500","9,570","9,450","399,46K","0,74%"
"24.09.2021","9,450","9,500","9,500","9,330","337,17K","-0,26%"
"23.09.2021","9,475","9,210","9,500","9,210","726,55K","1,66%"
"22.09.2021","9,320","9,340","9,390","9,270","482,79K","1,03%"
"21.09.2021","9,225","9,260","9,375","9,175","403,94K","0,33%"
"20.09.2021","9,195","9,140","9,245","8,975","572,17K","-1,39%"
"17.09.2021","9,325","9,010","9,440","9,010","753,37K","3,04%"
"16.09.2021","9,050","8,915","9,075","8,895","368,43K","1,57%"
"15.09.2021","8,910","9,015","9,060","8,870","424,74K","-1,44%"
"14.09.2021","9,040","8,920","9,140","8,915","433,15K","0,61%"
"13.09.2021","8,985","8,945","9,045","8,855","327,12K","1,53%"
"10.09.2021","8,850","9,000","9,000","8,830","416,00K","-0,84%"
"09.09.2021","8,925","8,850","8,940","8,760","388,04K","0,00%"
"08.09.2021","8,925","9,030","9,030","8,825","511,91K","-1,54%"
"07.09.2021","9,065","9,110","9,120","8,975","425,60K","0,17%"
"06.09.2021","9,050","9,200","9,220","9,025","385,00K","-1,52%"
"03.09.2021","9,190","9,340","9,360","9,150","534,58K","-1,82%"
"02.09.2021","9,360","9,330","9,365","9,260","672,17K","0,11%"
"01.09.2021","9,350","9,200","9,350","9,180","900,56K","2,35%"
"31.08.2021","9,135","8,950","9,270","8,910","1,16M","2,99%"
"30.08.2021","8,870","8,845","8,885","8,750","330,90K","0,62%"
"27.08.2021","8,815","8,795","8,815","8,690","333,07K","0,34%"
"26.08.2021","8,785","8,750","8,820","8,720","275,43K","-0,45%"
"25.08.2021","8,825","8,865","8,910","8,780","429,22K","0,34%"
"24.08.2021","8,795","8,820","8,845","8,695","472,42K","0,06%"
"23.08.2021","8,790","8,790","8,835","8,740","420,30K","0,51%"
"20.08.2021","8,745","8,670","8,760","8,650","461,44K","-0,63%"
"19.08.2021","8,800","8,670","8,820","8,645","331,39K","-0,11%"
"18.08.2021","8,810","8,850","8,885","8,755","363,70K","-0,11%"
"17.08.2021","8,820","8,850","8,855","8,710","435,80K","-0,11%"
"16.08.2021","8,830","8,905","8,980","8,800","437,02K","-0,39%"
"13.08.2021","8,865","8,985","9,020","8,850","453,71K","-1,72%"
"12.08.2021","9,020","8,900","9,065","8,855","701,31K","1,69%"
"11.08.2021","8,870","8,915","8,945","8,800","794,41K","-0,62%"
"10.08.2021","8,925","8,945","9,025","8,885","522,58K","-0,28%"
"09.08.2021","8,950","8,890","8,965","8,790","471,54K","1,30%"
"06.08.2021","8,835","8,900","8,970","8,760","443,96K","0,57%"
