"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","1,801","1,801","1,810","1,791","2,05M","-0,17%"
"09.12.2021","1,804","1,816","1,818","1,801","1,45M","-0,33%"
"08.12.2021","1,811","1,829","1,839","1,806","1,54M","-1,07%"
"07.12.2021","1,830","1,843","1,843","1,824","2,01M","0,55%"
"06.12.2021","1,820","1,811","1,827","1,799","1,82M","1,59%"
"03.12.2021","1,791","1,817","1,833","1,788","2,84M","-1,32%"
"02.12.2021","1,816","1,817","1,834","1,811","2,12M","-1,12%"
"01.12.2021","1,836","1,810","1,843","1,810","2,71M","1,49%"
"30.11.2021","1,809","1,811","1,832","1,788","5,63M","-0,96%"
"29.11.2021","1,827","1,841","1,859","1,824","3,58M","0,05%"
"26.11.2021","1,826","1,843","1,849","1,806","7,02M","-5,51%"
"25.11.2021","1,932","1,938","1,944","1,919","2,94M","0,49%"
"24.11.2021","1,923","1,960","1,967","1,923","4,32M","-0,67%"
"23.11.2021","1,936","1,940","1,957","1,913","4,64M","-0,26%"
"22.11.2021","1,941","1,913","1,941","1,913","2,92M","1,68%"
"19.11.2021","1,908","1,942","1,943","1,888","5,49M","-0,91%"
"18.11.2021","1,926","1,953","1,964","1,926","2,74M","-1,43%"
"17.11.2021","1,954","1,964","1,972","1,949","4,01M","-0,81%"
"16.11.2021","1,970","1,972","1,982","1,964","2,78M","-0,51%"
"15.11.2021","1,980","1,948","1,985","1,926","3,41M","1,90%"
"12.11.2021","1,943","1,963","1,963","1,939","1,67M","-0,79%"
"11.11.2021","1,959","1,947","1,965","1,944","3,21M","0,49%"
"10.11.2021","1,949","1,928","1,949","1,920","2,35M","0,62%"
"09.11.2021","1,937","1,915","1,943","1,908","2,87M","1,04%"
"08.11.2021","1,917","1,940","1,940","1,916","3,36M","-1,34%"
"05.11.2021","1,943","1,914","1,952","1,895","2,83M","1,52%"
"04.11.2021","1,914","1,951","1,951","1,882","14,05M","-1,09%"
"03.11.2021","1,935","1,957","1,961","1,915","4,34M","-1,63%"
"02.11.2021","1,967","1,967","1,974","1,921","4,19M","-0,15%"
"01.11.2021","1,970","1,865","1,984","1,859","13,03M","7,62%"
"29.10.2021","1,831","1,832","1,839","1,813","4,18M","0,80%"
"28.10.2021","1,816","1,818","1,830","1,808","1,66M","-0,33%"
"27.10.2021","1,822","1,824","1,833","1,809","2,68M","0,50%"
"26.10.2021","1,813","1,847","1,857","1,806","3,23M","-1,65%"
"25.10.2021","1,844","1,821","1,849","1,808","4,27M","1,71%"
"22.10.2021","1,813","1,796","1,817","1,776","3,53M","1,57%"
"21.10.2021","1,785","1,800","1,806","1,785","1,85M","-1,46%"
"20.10.2021","1,811","1,798","1,819","1,792","2,21M","1,20%"
"19.10.2021","1,789","1,780","1,794","1,765","2,36M","0,53%"
"18.10.2021","1,780","1,804","1,804","1,779","2,85M","-0,75%"
"15.10.2021","1,793","1,810","1,811","1,793","2,57M","-0,14%"
"14.10.2021","1,796","1,817","1,817","1,796","1,90M","-0,17%"
"13.10.2021","1,799","1,850","1,850","1,786","5,27M","-2,84%"
"12.10.2021","1,852","1,818","1,853","1,804","3,56M","1,17%"
"11.10.2021","1,830","1,825","1,854","1,819","2,62M","-0,14%"
"08.10.2021","1,832","1,838","1,849","1,829","3,70M","-0,30%"
"07.10.2021","1,838","1,862","1,867","1,838","3,50M","-0,33%"
"06.10.2021","1,844","1,875","1,875","1,835","2,97M","-1,91%"
"05.10.2021","1,880","1,855","1,885","1,851","2,30M","1,57%"
"04.10.2021","1,851","1,880","1,890","1,851","9,83M","-1,83%"
"01.10.2021","1,885","1,862","1,902","1,852","2,23M","0,00%"
"30.09.2021","1,885","1,903","1,914","1,881","2,83M","-0,37%"
"29.09.2021","1,892","1,862","1,898","1,857","2,15M","2,02%"
"28.09.2021","1,855","1,898","1,923","1,855","4,43M","-1,83%"
"27.09.2021","1,889","1,860","1,895","1,857","3,32M","1,56%"
"24.09.2021","1,860","1,822","1,864","1,822","3,74M","1,75%"
"23.09.2021","1,828","1,819","1,831","1,810","1,80M","1,50%"
"22.09.2021","1,801","1,795","1,809","1,785","2,53M","1,52%"
"21.09.2021","1,774","1,776","1,801","1,767","5,83M","0,80%"
"20.09.2021","1,760","1,803","1,803","1,758","4,05M","-3,93%"
"17.09.2021","1,832","1,830","1,845","1,822","3,91M","0,94%"
"16.09.2021","1,815","1,803","1,824","1,803","2,16M","0,92%"
"15.09.2021","1,798","1,808","1,826","1,798","1,73M","-0,96%"
"14.09.2021","1,816","1,834","1,842","1,816","1,62M","-0,93%"
"13.09.2021","1,833","1,804","1,837","1,804","1,79M","2,23%"
"10.09.2021","1,793","1,830","1,830","1,792","2,65M","-1,56%"
"09.09.2021","1,821","1,820","1,829","1,809","1,90M","-0,95%"
"08.09.2021","1,839","1,851","1,857","1,806","2,67M","-0,35%"
"07.09.2021","1,845","1,839","1,845","1,827","1,58M","0,41%"
"06.09.2021","1,838","1,818","1,840","1,818","1,25M","0,91%"
"03.09.2021","1,821","1,846","1,846","1,817","3,15M","-1,35%"
"02.09.2021","1,847","1,844","1,847","1,832","2,17M","0,16%"
"01.09.2021","1,844","1,832","1,873","1,832","3,31M","0,96%"
"31.08.2021","1,826","1,831","1,831","1,801","4,16M","-0,44%"
"30.08.2021","1,834","1,835","1,842","1,815","1,35M","-0,11%"
"27.08.2021","1,836","1,839","1,839","1,808","2,12M","0,11%"
"26.08.2021","1,834","1,840","1,847","1,827","1,15M","-0,46%"
"25.08.2021","1,842","1,814","1,844","1,808","8,82M","1,29%"
"24.08.2021","1,819","1,837","1,837","1,811","3,54M","-0,63%"
"23.08.2021","1,831","1,823","1,834","1,817","1,04M","0,72%"
"20.08.2021","1,817","1,836","1,840","1,794","2,12M","-1,22%"
"19.08.2021","1,840","1,834","1,853","1,819","4,01M","-1,34%"
"18.08.2021","1,865","1,811","1,867","1,811","3,33M","2,39%"
"17.08.2021","1,821","1,807","1,827","1,804","1,48M","0,05%"
"16.08.2021","1,821","1,814","1,824","1,803","1,60M","-0,27%"
"13.08.2021","1,826","1,821","1,832","1,811","1,32M","0,00%"
"12.08.2021","1,826","1,814","1,832","1,810","1,89M","0,72%"
"11.08.2021","1,813","1,814","1,819","1,791","1,65M","0,67%"
"10.08.2021","1,801","1,794","1,809","1,781","1,31M","-0,30%"
"09.08.2021","1,806","1,791","1,809","1,788","1,11M","0,53%"
"06.08.2021","1,797","1,788","1,798","1,769","1,79M","0,62%"
"05.08.2021","1,786","1,786","1,791","1,768","1,69M","0,42%"
"04.08.2021","1,778","1,785","1,788","1,758","1,56M","0,45%"
"03.08.2021","1,770","1,773","1,786","1,753","1,51M","0,80%"
"02.08.2021","1,757","1,737","1,774","1,736","2,35M","1,12%"
"30.07.2021","1,737","1,752","1,753","1,725","3,34M","-1,08%"
"29.07.2021","1,756","1,755","1,784","1,752","2,56M","-0,40%"
"28.07.2021","1,763","1,780","1,787","1,762","1,30M","-0,84%"
"27.07.2021","1,778","1,786","1,786","1,753","1,92M","-0,61%"
"26.07.2021","1,789","1,761","1,803","1,737","4,99M","1,33%"
"23.07.2021","1,765","1,751","1,779","1,750","2,38M","0,97%"
"22.07.2021","1,748","1,768","1,793","1,748","1,91M","-1,16%"
"21.07.2021","1,769","1,758","1,778","1,719","2,62M","3,60%"
"20.07.2021","1,707","1,691","1,719","1,679","2,21M","1,22%"
"19.07.2021","1,687","1,742","1,742","1,677","3,36M","-3,21%"
