"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","9,82","9,76","9,85","9,74","526,11K","0,49%"
"09.12.2021","9,78","9,76","9,91","9,73","1,11M","0,85%"
"08.12.2021","9,69","9,56","9,86","9,55","1,11M","1,04%"
"07.12.2021","9,59","9,72","9,72","9,51","545,13K","-0,06%"
"06.12.2021","9,60","9,67","9,67","9,49","1,09M","0,42%"
"03.12.2021","9,56","9,70","9,78","9,50","884,61K","-0,06%"
"02.12.2021","9,57","9,58","9,67","9,47","1,47M","-1,16%"
"01.12.2021","9,68","9,72","9,80","9,60","1,04M","-1,65%"
"30.11.2021","9,84","9,87","10,03","9,72","1,30M","-0,91%"
"29.11.2021","9,93","9,91","10,11","9,82","813,26K","1,06%"
"26.11.2021","9,83","10,11","10,11","9,80","805,73K","-4,23%"
"25.11.2021","10,26","9,96","10,28","9,96","1,01M","2,45%"
"24.11.2021","10,02","9,82","10,03","9,80","616,12K","2,03%"
"23.11.2021","9,82","9,99","10,02","9,80","841,49K","-0,59%"
"22.11.2021","9,87","9,87","10,00","9,78","680,12K","0,18%"
"19.11.2021","9,86","9,94","9,95","9,67","1,30M","-1,78%"
"18.11.2021","10,03","10,15","10,16","9,84","892,29K","-1,67%"
"17.11.2021","10,20","10,27","10,27","10,14","1,64M","-0,34%"
"16.11.2021","10,24","9,96","10,24","9,90","1,07M","1,64%"
"15.11.2021","10,07","9,83","10,14","9,74","1,07M","3,74%"
"12.11.2021","9,71","9,54","9,80","9,42","754,57K","1,82%"
"11.11.2021","9,54","9,56","9,61","9,53","493,38K","-0,65%"
"10.11.2021","9,60","9,62","9,71","9,59","377,14K","-0,58%"
"09.11.2021","9,66","9,58","9,72","9,56","228,02K","0,65%"
"08.11.2021","9,59","9,82","9,85","9,59","698,86K","-2,20%"
"05.11.2021","9,81","9,48","9,81","9,44","921,29K","3,57%"
"04.11.2021","9,47","9,33","9,56","9,30","507,79K","1,98%"
"03.11.2021","9,29","9,33","9,36","9,22","536,48K","-0,75%"
"02.11.2021","9,36","9,28","9,44","9,23","505,92K","-0,32%"
"01.11.2021","9,39","9,45","9,51","9,34","389,10K","0,21%"
"29.10.2021","9,37","9,42","9,51","9,36","693,93K","-0,85%"
"28.10.2021","9,45","9,38","9,46","9,33","624,23K","0,08%"
"27.10.2021","9,44","9,46","9,46","9,34","613,06K","0,85%"
"26.10.2021","9,36","9,20","9,44","9,14","501,84K","0,78%"
"25.10.2021","9,29","9,39","9,40","9,26","334,45K","-0,66%"
"22.10.2021","9,35","9,39","9,40","9,32","382,74K","0,00%"
"21.10.2021","9,35","9,28","9,41","9,19","401,85K","0,49%"
"20.10.2021","9,31","9,33","9,37","9,22","513,13K","-0,96%"
"19.10.2021","9,40","9,34","9,46","9,20","571,99K","0,00%"
"18.10.2021","9,40","9,40","9,42","9,36","264,89K","-1,14%"
"15.10.2021","9,51","9,50","9,52","9,39","666,95K","1,02%"
"14.10.2021","9,41","9,48","9,51","9,40","576,77K","0,00%"
"13.10.2021","9,41","9,25","9,43","9,19","808,20K","1,40%"
"12.10.2021","9,28","9,06","9,28","9,03","573,92K","1,00%"
"11.10.2021","9,19","9,08","9,19","9,04","849,19K","0,35%"
"08.10.2021","9,16","9,05","9,22","9,05","497,28K","0,00%"
"07.10.2021","9,16","8,93","9,17","8,93","427,73K","1,96%"
"06.10.2021","8,98","9,06","9,06","8,90","466,32K","-1,21%"
"05.10.2021","9,09","9,00","9,11","8,96","592,24K","0,98%"
"04.10.2021","9,00","9,08","9,15","8,98","640,65K","-1,14%"
"01.10.2021","9,11","8,85","9,16","8,75","644,96K","2,66%"
"30.09.2021","8,87","9,26","9,26","8,87","962,44K","-1,71%"
"29.09.2021","9,03","9,05","9,24","8,97","934,81K","-0,55%"
"28.09.2021","9,08","9,44","9,50","9,08","838,28K","-3,65%"
"27.09.2021","9,42","9,42","9,47","9,28","921,27K","1,23%"
"24.09.2021","9,31","9,34","9,42","9,22","375,19K","-0,83%"
"23.09.2021","9,38","9,49","9,49","9,33","519,48K","1,01%"
"22.09.2021","9,29","9,44","9,47","9,29","1,05M","-0,58%"
"21.09.2021","9,34","9,25","9,41","9,19","483,36K","1,99%"
"20.09.2021","9,16","9,10","9,19","9,01","616,82K","0,17%"
"17.09.2021","9,15","9,17","9,43","9,15","6,26M","-1,68%"
"16.09.2021","9,30","9,13","9,31","9,13","727,11K","0,93%"
"15.09.2021","9,22","9,30","9,34","9,16","648,36K","-1,41%"
"14.09.2021","9,35","9,27","9,53","9,23","1,10M","0,75%"
"13.09.2021","9,28","9,16","9,29","9,07","563,33K","1,27%"
"10.09.2021","9,16","9,42","9,42","9,07","1,09M","-2,72%"
"09.09.2021","9,42","9,30","9,47","9,29","854,20K","1,33%"
"08.09.2021","9,29","9,74","9,74","9,21","1,39M","-4,68%"
"07.09.2021","9,75","9,85","9,94","9,70","853,82K","-0,89%"
"06.09.2021","9,84","9,88","9,88","9,75","209,35K","0,08%"
"03.09.2021","9,83","10,00","10,01","9,80","746,09K","-1,70%"
"02.09.2021","10,00","10,20","10,20","9,94","1,55M","-1,96%"
"01.09.2021","10,20","9,95","10,20","9,94","1,11M","3,09%"
"31.08.2021","9,89","9,90","9,93","9,71","819,73K","0,34%"
"30.08.2021","9,86","9,73","9,87","9,73","306,49K","0,57%"
"27.08.2021","9,80","9,64","9,80","9,58","234,71K","2,40%"
"26.08.2021","9,57","9,56","9,59","9,26","474,21K","0,00%"
"25.08.2021","9,57","9,70","9,76","9,54","910,23K","-0,79%"
"24.08.2021","9,65","9,80","9,80","9,59","323,27K","-0,90%"
