"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","25,290","25,050","25,330","24,610","574,42K","0,12%"
"09.12.2021","25,260","25,160","25,330","25,080","346,85K","0,72%"
"08.12.2021","25,080","25,120","25,430","25,080","426,70K","-0,48%"
"07.12.2021","25,200","25,070","25,410","24,970","716,16K","1,00%"
"06.12.2021","24,950","24,280","25,120","24,280","803,49K","1,84%"
"03.12.2021","24,500","24,490","24,590","24,320","937,59K","0,20%"
"02.12.2021","24,450","24,390","24,520","24,020","982,79K","-0,45%"
"01.12.2021","24,560","24,280","24,660","24,160","663,53K","1,07%"
"30.11.2021","24,300","24,430","24,640","24,200","2,57M","-1,34%"
"29.11.2021","24,630","24,170","24,870","24,080","615,95K","1,90%"
"26.11.2021","24,170","24,060","24,270","23,900","571,13K","-1,10%"
"25.11.2021","24,440","23,860","24,440","23,860","621,87K","2,17%"
"24.11.2021","23,920","24,000","24,180","23,900","691,15K","-0,33%"
"23.11.2021","24,000","23,660","24,030","23,580","981,30K","0,93%"
"22.11.2021","23,780","22,910","23,930","22,740","899,56K","3,75%"
"19.11.2021","22,920","22,680","23,000","22,550","6,38M","1,46%"
"18.11.2021","22,590","22,590","22,590","22,240","807,41K","-1,57%"
"17.11.2021","22,950","22,580","23,050","22,570","565,54K","1,64%"
"16.11.2021","22,580","22,680","22,790","22,580","489,77K","-0,35%"
"15.11.2021","22,660","22,390","22,740","22,290","485,41K","0,85%"
"12.11.2021","22,470","22,640","22,760","22,380","430,61K","-0,75%"
"11.11.2021","22,640","22,320","22,760","22,240","583,58K","-1,61%"
"10.11.2021","23,010","23,100","23,370","22,760","726,20K","-0,48%"
"09.11.2021","23,120","23,050","23,420","23,040","451,96K","0,09%"
"08.11.2021","23,100","23,350","23,380","23,070","348,50K","-1,20%"
"05.11.2021","23,380","23,280","23,560","23,190","388,61K","0,09%"
"04.11.2021","23,360","23,220","23,600","23,150","521,18K","0,95%"
"03.11.2021","23,140","23,100","23,190","23,040","468,48K","0,09%"
"02.11.2021","23,120","23,210","23,310","23,110","504,46K","-0,43%"
"01.11.2021","23,220","22,740","23,280","22,720","437,88K","2,16%"
"29.10.2021","22,730","22,710","22,820","22,630","747,18K","0,09%"
"28.10.2021","22,710","22,750","22,750","22,460","452,31K","0,62%"
"27.10.2021","22,570","22,450","22,600","22,320","627,73K","0,80%"
"26.10.2021","22,390","21,930","22,390","21,910","787,64K","2,05%"
"25.10.2021","21,940","22,080","22,100","21,920","803,28K","-0,41%"
"22.10.2021","22,030","22,270","22,280","21,990","957,56K","-1,12%"
"21.10.2021","22,280","22,450","22,450","22,230","740,64K","-0,40%"
"20.10.2021","22,370","22,220","22,540","22,150","1,68M","-0,31%"
"19.10.2021","22,440","22,700","22,780","22,220","8,65M","-2,86%"
"18.10.2021","23,100","23,000","23,290","22,910","1,24M","-0,65%"
"15.10.2021","23,250","23,940","24,000","22,740","3,83M","-3,17%"
"14.10.2021","24,010","22,500","24,870","22,420","2,68M","4,62%"
"13.10.2021","22,950","22,070","23,240","21,920","2,18M","4,13%"
"12.10.2021","22,040","21,650","22,045","21,495","-","1,80%"
"11.10.2021","21,650","21,770","21,850","21,410","1,16M","-0,92%"
"08.10.2021","21,850","21,690","21,860","21,610","1,68M","0,55%"
"07.10.2021","21,730","21,800","21,930","21,710","2,76M","-0,46%"
"06.10.2021","21,830","21,630","21,910","21,610","2,66M","0,37%"
"05.10.2021","21,750","21,740","21,830","21,640","1,95M","-0,18%"
"04.10.2021","21,790","21,660","21,880","21,660","2,30M","-0,05%"
"01.10.2021","21,800","21,600","21,800","21,600","1,55M","0,23%"
"30.09.2021","21,750","21,910","21,980","21,730","1,67M","-0,73%"
"29.09.2021","21,910","21,730","21,940","21,730","1,90M","0,74%"
"28.09.2021","21,750","21,660","21,820","21,660","2,12M","0,23%"
"27.09.2021","21,700","21,550","21,730","21,530","1,41M","0,70%"
"24.09.2021","21,550","21,600","21,670","21,440","1,51M","-0,46%"
"23.09.2021","21,650","21,590","21,760","21,550","1,67M","0,28%"
"22.09.2021","21,590","21,570","21,630","21,410","4,84M","0,42%"
"21.09.2021","21,500","21,470","21,580","21,410","1,11M","0,09%"
"20.09.2021","21,480","21,500","21,580","21,380","1,82M","-0,51%"
"17.09.2021","21,590","21,800","21,870","21,590","1,87M","-1,05%"
"16.09.2021","21,820","21,680","21,900","21,680","1,18M","0,32%"
"15.09.2021","21,750","21,800","21,820","21,660","1,91M","-0,41%"
"14.09.2021","21,840","21,800","21,970","21,800","1,47M","-0,64%"
"13.09.2021","21,980","21,790","22,000","21,760","1,20M","1,15%"
"10.09.2021","21,730","21,780","21,780","21,670","697,95K","0,18%"
"09.09.2021","21,690","21,790","21,820","21,680","903,28K","-0,64%"
"08.09.2021","21,830","21,650","21,870","21,500","2,32M","0,83%"
"07.09.2021","21,650","21,610","21,700","21,540","913,64K","0,05%"
"06.09.2021","21,640","21,730","21,770","21,620","719,71K","-0,60%"
"03.09.2021","21,770","21,940","21,960","21,670","1,09M","-0,68%"
"02.09.2021","21,920","22,020","22,070","21,920","696,58K","-0,23%"
"01.09.2021","21,970","21,880","22,130","21,850","524,63K","0,78%"
"31.08.2021","21,800","21,790","21,950","21,670","668,40K","-0,05%"
"30.08.2021","21,810","21,790","21,820","21,700","181,06K","0,23%"
"27.08.2021","21,760","21,790","21,820","21,700","759,99K","-0,09%"
"26.08.2021","21,780","21,880","21,880","21,750","415,18K","-0,55%"
"25.08.2021","21,900","22,000","22,000","21,810","467,59K","-0,09%"
"24.08.2021","21,920","22,010","22,150","21,870","266,34K","-0,81%"
"23.08.2021","22,100","21,900","22,100","21,860","393,81K","0,96%"
"20.08.2021","21,890","21,870","21,920","21,790","369,66K","0,18%"
"19.08.2021","21,850","21,760","21,910","21,720","471,52K","0,14%"
"18.08.2021","21,820","21,760","21,820","21,760","444,86K","0,18%"
"17.08.2021","21,780","21,740","21,820","21,700","410,87K","0,09%"
"16.08.2021","21,760","21,740","21,850","21,740","321,57K","-0,18%"
"13.08.2021","21,800","21,710","21,810","21,710","1,07M","0,18%"
"12.08.2021","21,760","21,800","21,850","21,700","386,34K","-0,05%"
"11.08.2021","21,770","21,620","21,770","21,570","797,96K","0,60%"
"10.08.2021","21,640","21,660","21,750","21,640","347,49K","-0,28%"
"09.08.2021","21,700","21,760","21,860","21,650","266,70K","-0,37%"
"06.08.2021","21,780","21,870","21,890","21,680","495,49K","-0,77%"
"05.08.2021","21,950","21,800","21,950","21,790","438,03K","0,60%"
"04.08.2021","21,820","21,940","21,940","21,720","573,23K","-0,37%"
"03.08.2021","21,900","21,570","21,900","21,530","482,23K","1,30%"
"02.08.2021","21,620","21,590","21,740","21,270","609,33K","-0,78%"
