"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","52,780","54,020","54,020","52,480","56,75K","-2,30%"
"09.12.2021","54,020","55,300","55,300","54,020","38,03K","-1,28%"
"08.12.2021","54,720","55,300","56,100","54,220","58,92K","-0,44%"
"07.12.2021","54,960","53,000","55,320","53,000","57,18K","4,25%"
"06.12.2021","52,720","53,320","53,800","52,200","71,48K","-0,08%"
"03.12.2021","52,760","54,860","55,620","52,560","93,09K","-3,83%"
"02.12.2021","54,860","56,260","56,860","54,500","83,33K","-3,96%"
"01.12.2021","57,120","57,000","57,540","56,220","56,37K","-0,31%"
"30.11.2021","57,300","57,120","58,460","56,620","55,48K","-1,07%"
"29.11.2021","57,920","58,420","58,740","56,420","72,58K","-0,62%"
"26.11.2021","58,280","56,740","59,760","56,500","159,29K","1,18%"
"25.11.2021","57,600","57,200","58,540","56,660","55,51K","1,09%"
"24.11.2021","56,980","55,800","57,300","55,500","81,93K","0,92%"
"23.11.2021","56,460","57,720","58,260","55,940","115,99K","-1,91%"
"22.11.2021","57,560","59,820","60,100","57,000","100,75K","-4,26%"
"19.11.2021","60,120","59,260","60,500","59,080","68,80K","1,76%"
"18.11.2021","59,080","61,160","61,920","58,740","106,56K","-3,43%"
"17.11.2021","61,180","61,340","61,620","60,800","50,42K","-0,29%"
"16.11.2021","61,360","62,800","62,840","61,240","47,88K","-2,54%"
"15.11.2021","62,960","61,100","62,980","61,100","73,73K","3,21%"
"12.11.2021","61,000","62,900","63,000","61,000","74,26K","-2,80%"
"11.11.2021","62,760","62,360","63,280","61,780","109,08K","1,32%"
"10.11.2021","61,940","62,300","62,300","60,760","67,01K","0,49%"
"09.11.2021","61,640","61,500","62,240","61,040","57,02K","0,23%"
"08.11.2021","61,500","60,640","62,200","60,640","130,32K","1,32%"
"05.11.2021","60,700","61,000","62,740","60,500","98,39K","-1,36%"
"04.11.2021","61,540","62,520","63,300","61,380","100,86K","-1,54%"
"03.11.2021","62,500","61,760","63,320","61,040","104,12K","1,33%"
"02.11.2021","61,680","60,580","63,180","60,540","211,82K","2,09%"
"01.11.2021","60,420","67,200","67,420","60,420","387,04K","-10,01%"
"29.10.2021","67,140","71,440","71,440","67,000","161,49K","-3,89%"
"28.10.2021","69,860","69,100","70,320","68,300","64,81K","0,98%"
"27.10.2021","69,180","70,000","70,240","69,060","71,61K","-1,76%"
"26.10.2021","70,420","70,520","70,800","69,640","35,46K","0,17%"
"25.10.2021","70,300","71,000","71,000","69,620","65,26K","-1,01%"
"22.10.2021","71,020","71,900","72,140","71,020","35,79K","-1,00%"
"21.10.2021","71,740","71,000","71,740","70,240","71,66K","0,67%"
"20.10.2021","71,260","70,600","71,740","70,600","49,22K","-0,34%"
"19.10.2021","71,500","70,480","71,800","70,380","46,20K","1,36%"
"18.10.2021","70,540","71,220","71,300","70,380","36,03K","-1,18%"
"15.10.2021","71,380","71,440","71,600","70,440","56,92K","0,54%"
"14.10.2021","71,000","70,200","71,000","69,820","55,91K","1,02%"
"13.10.2021","70,280","70,660","71,220","70,000","58,88K","-0,68%"
