"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","18,960","18,780","18,980","18,670","833,65K","0,74%"
"09.12.2021","18,820","18,800","18,955","18,745","746,96K","0,08%"
"08.12.2021","18,805","18,780","19,025","18,750","1,10M","0,05%"
"07.12.2021","18,795","18,935","19,030","18,755","1,25M","-0,58%"
"06.12.2021","18,905","18,650","18,905","18,520","1,56M","2,02%"
"03.12.2021","18,530","18,425","18,625","18,410","954,29K","0,65%"
"02.12.2021","18,410","18,620","18,720","18,350","1,14M","-1,58%"
"01.12.2021","18,705","18,750","18,750","18,495","1,50M","-0,16%"
"30.11.2021","18,735","18,525","18,835","18,375","3,66M","1,16%"
"29.11.2021","18,520","18,340","18,620","18,220","1,60M","0,65%"
"26.11.2021","18,400","18,305","18,500","18,260","1,54M","-0,30%"
"25.11.2021","18,455","18,480","18,620","18,375","1,23M","-0,05%"
"24.11.2021","18,465","18,430","18,465","18,245","1,51M","-0,03%"
"23.11.2021","18,470","18,190","18,470","18,070","1,33M","1,37%"
"22.11.2021","18,220","17,975","18,220","17,960","1,48M","0,77%"
"19.11.2021","18,080","18,055","18,100","17,995","1,23M","0,44%"
"18.11.2021","18,000","18,020","18,060","17,925","1,01M","-0,19%"
"17.11.2021","18,035","18,000","18,090","17,950","831,80K","0,33%"
"16.11.2021","17,975","18,005","18,070","17,805","948,14K","-0,44%"
"15.11.2021","18,055","18,015","18,105","17,955","1,04M","0,19%"
"12.11.2021","18,020","17,960","18,030","17,905","737,33K","0,22%"
"11.11.2021","17,980","18,000","18,055","17,920","866,76K","-0,30%"
"10.11.2021","18,035","17,890","18,065","17,875","894,83K","0,59%"
"09.11.2021","17,930","17,960","18,025","17,800","1,01M","-0,17%"
"08.11.2021","17,960","18,160","18,175","17,915","870,48K","-1,18%"
"05.11.2021","18,175","18,220","18,265","18,100","917,10K","-0,30%"
"04.11.2021","18,230","18,170","18,300","18,095","1,21M","0,36%"
"03.11.2021","18,165","18,225","18,255","18,080","1,08M","-0,33%"
"02.11.2021","18,225","18,250","18,355","18,195","2,50M","0,03%"
"01.11.2021","18,220","17,950","18,300","17,950","1,28M","1,17%"
"29.10.2021","18,010","18,090","18,140","17,920","1,61M","-0,33%"
"28.10.2021","18,070","17,880","18,070","17,710","1,81M","0,03%"
"27.10.2021","18,065","17,645","18,085","17,525","1,48M","2,35%"
"26.10.2021","17,650","17,700","17,750","17,565","1,02M","-0,23%"
"25.10.2021","17,690","17,740","17,770","17,600","923,81K","0,31%"
"22.10.2021","17,635","17,630","17,750","17,540","866,02K","0,17%"
"21.10.2021","17,605","17,500","17,745","17,355","1,46M","-0,96%"
"20.10.2021","17,775","17,560","17,840","17,545","1,09M","0,91%"
"19.10.2021","17,615","17,655","17,690","17,520","944,45K","0,09%"
"18.10.2021","17,600","17,635","17,640","17,490","1,27M","-0,28%"
"15.10.2021","17,650","17,980","17,980","17,500","1,05M","-1,67%"
"14.10.2021","17,950","17,900","17,960","17,815","1,17M","0,84%"
"13.10.2021","17,800","17,790","17,875","17,575","1,00M","0,28%"
