"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","2,7010","2,7000","2,7280","2,6830","49,05M","-0,61%"
"09.12.2021","2,7175","2,7730","2,7730","2,7025","46,96M","-1,13%"
"08.12.2021","2,7485","2,7900","2,8080","2,7335","65,55M","-2,48%"
"07.12.2021","2,8185","2,8470","2,8475","2,8040","37,48M","0,18%"
"06.12.2021","2,8135","2,7880","2,8135","2,7635","28,49M","1,81%"
"03.12.2021","2,7635","2,8320","2,8360","2,7525","36,34M","-1,04%"
"02.12.2021","2,7925","2,7720","2,8155","2,7600","42,53M","-1,05%"
"01.12.2021","2,8220","2,7700","2,8340","2,7615","61,68M","2,62%"
"30.11.2021","2,7500","2,7490","2,8020","2,7175","81,50M","-1,20%"
"29.11.2021","2,7835","2,8510","2,8560","2,7755","64,50M","0,02%"
"26.11.2021","2,7830","2,9195","2,9200","2,7830","116,32M","-8,92%"
"25.11.2021","3,0555","3,0535","3,0715","3,0240","40,08M","0,78%"
"24.11.2021","3,0320","3,0540","3,1185","3,0285","74,38M","-1,03%"
"23.11.2021","3,0635","3,0800","3,1145","3,0320","53,71M","-1,24%"
"22.11.2021","3,1020","3,0725","3,1175","3,0465","49,51M","1,42%"
"19.11.2021","3,0585","3,1610","3,1815","3,0125","98,58M","-2,53%"
"18.11.2021","3,1380","3,1900","3,2165","3,1350","56,39M","-1,94%"
"17.11.2021","3,2000","3,2270","3,2280","3,1950","66,17M","-0,28%"
"16.11.2021","3,2090","3,2115","3,2350","3,1895","31,12M","-0,08%"
"15.11.2021","3,2115","3,1640","3,2320","3,1350","52,15M","0,82%"
"12.11.2021","3,1855","3,1965","3,2020","3,1635","46,99M","-1,07%"
"11.11.2021","3,2200","3,2305","3,2620","3,2075","80,52M","0,25%"
"10.11.2021","3,2120","3,2020","3,2545","3,2000","43,93M","0,64%"
"09.11.2021","3,1915","3,2270","3,2505","3,1910","39,60M","-1,44%"
"08.11.2021","3,2380","3,2780","3,3000","3,2380","69,07M","-1,40%"
"05.11.2021","3,2840","3,2270","3,3190","3,2150","84,77M","1,44%"
"04.11.2021","3,2375","3,3200","3,3270","3,2160","144,54M","-2,19%"
"03.11.2021","3,3100","3,2750","3,3100","3,2360","306,67M","0,47%"
"02.11.2021","3,2945","3,3250","3,3350","3,2725","50,79M","-1,47%"
"01.11.2021","3,3435","3,2800","3,3535","3,2755","77,14M","2,04%"
"29.10.2021","3,2765","3,2525","3,2765","3,1875","48,53M","-0,12%"
"28.10.2021","3,2805","3,2540","3,3000","3,1980","50,60M","0,60%"
"27.10.2021","3,2610","3,3500","3,3505","3,2245","66,84M","-2,85%"
"26.10.2021","3,3565","3,3200","3,3745","3,3105","39,61M","1,15%"
"25.10.2021","3,3185","3,3000","3,3505","3,2915","91,58M","1,11%"
"22.10.2021","3,2820","3,3130","3,3420","3,2820","90,02M","-0,95%"
"21.10.2021","3,3135","3,3320","3,3500","3,2970","97,93M","-1,38%"
"20.10.2021","3,3600","3,3600","3,3760","3,3220","366,90M","-0,04%"
"19.10.2021","3,3615","3,3250","3,3800","3,3155","51,80M","0,95%"
"18.10.2021","3,3300","3,3450","3,3750","3,3195","87,09M","-0,46%"
"15.10.2021","3,3455","3,3100","3,3850","3,3080","46,45M","1,97%"
"14.10.2021","3,2810","3,3100","3,3580","3,2810","59,29M","0,15%"
"13.10.2021","3,2760","3,3610","3,3785","3,2605","39,02M","-3,18%"
"12.10.2021","3,3835","3,2950","3,3930","3,2800","38,76M","1,03%"
"11.10.2021","3,3490","3,3375","3,3750","3,3300","28,27M","-0,03%"
"08.10.2021","3,3500","3,3245","3,3750","3,3245","42,39M","0,56%"
"07.10.2021","3,3315","3,2755","3,3510","3,2560","58,49M","2,86%"
