"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","21,170","21,370","21,660","21,010","1,30M","-2,26%"
"09.12.2021","21,660","21,750","21,990","21,440","683,46K","-0,41%"
"08.12.2021","21,750","22,060","22,420","21,640","1,16M","-1,58%"
"07.12.2021","22,100","21,530","22,100","21,410","1,10M","4,34%"
"06.12.2021","21,180","21,360","21,590","20,880","1,88M","-0,09%"
"03.12.2021","21,200","22,100","22,200","21,000","1,33M","-3,59%"
"02.12.2021","21,990","22,600","22,600","21,390","1,70M","-3,55%"
"01.12.2021","22,800","23,590","23,620","22,440","992,63K","-3,10%"
"30.11.2021","23,530","23,260","24,040","23,050","2,16M","0,21%"
"29.11.2021","23,480","23,590","24,100","23,170","2,16M","0,43%"
"26.11.2021","23,380","21,800","23,810","21,650","2,45M","3,54%"
"25.11.2021","22,580","21,590","22,660","21,520","1,13M","5,07%"
"24.11.2021","21,490","21,260","21,590","20,930","1,84M","0,70%"
"23.11.2021","21,340","20,380","21,560","20,250","1,39M","-0,47%"
"22.11.2021","21,440","21,920","22,120","21,350","1,33M","-2,15%"
"19.11.2021","21,910","21,500","22,200","20,620","3,81M","1,76%"
"18.11.2021","21,530","21,700","22,020","21,460","781,90K","-1,42%"
"17.11.2021","21,840","22,000","22,060","21,670","929,57K","-0,68%"
"16.11.2021","21,990","21,870","22,100","21,630","865,68K","0,18%"
"15.11.2021","21,950","21,900","22,360","21,740","851,76K","-0,90%"
"12.11.2021","22,150","21,900","22,450","21,810","1,08M","1,51%"
"11.11.2021","21,820","22,000","22,000","20,750","1,61M","-1,40%"
"10.11.2021","22,130","20,720","22,170","20,550","3,85M","7,43%"
"09.11.2021","20,600","20,360","20,960","19,915","2,37M","0,68%"
"08.11.2021","20,460","19,150","20,640","19,150","3,33M","8,92%"
"05.11.2021","18,785","19,375","19,395","18,340","2,70M","-3,07%"
"04.11.2021","19,380","20,020","20,030","19,380","2,51M","-1,27%"
"03.11.2021","19,630","21,140","21,720","19,460","3,62M","-11,78%"
"02.11.2021","22,250","23,120","23,120","22,180","922,94K","-3,22%"
"01.11.2021","22,990","23,520","23,660","22,990","927,36K","-1,88%"
"29.10.2021","23,430","23,590","23,850","22,930","1,20M","-0,51%"
"28.10.2021","23,550","22,110","23,730","22,070","1,80M","6,18%"
"27.10.2021","22,180","22,270","22,400","21,940","571,57K","-0,54%"
"26.10.2021","22,300","21,800","22,540","21,760","722,38K","2,72%"
"25.10.2021","21,710","21,990","22,100","21,300","617,17K","-0,96%"
"22.10.2021","21,920","22,180","22,490","21,920","652,42K","-0,72%"
"21.10.2021","22,080","21,680","22,150","21,510","984,20K","1,61%"
"20.10.2021","21,730","20,590","22,100","20,470","1,68M","5,54%"
"19.10.2021","20,590","20,200","20,870","20,170","1,63M","2,80%"
"18.10.2021","20,030","20,760","20,790","19,965","1,19M","-3,75%"
"15.10.2021","20,810","20,620","20,980","20,500","2,64M","0,82%"
"14.10.2021","20,640","21,050","21,260","20,640","1,17M","-1,95%"
"13.10.2021","21,050","20,460","21,290","20,280","2,24M","2,93%"
"12.10.2021","20,450","19,515","20,720","19,400","1,80M","3,26%"
"11.10.2021","19,805","19,375","19,980","19,250","1,17M","0,51%"
"08.10.2021","19,705","20,300","20,300","19,570","1,67M","-2,93%"
"07.10.2021","20,300","20,340","20,650","19,995","1,24M","0,84%"
"06.10.2021","20,130","20,500","20,510","19,555","1,61M","-2,57%"
"05.10.2021","20,660","20,490","20,790","20,210","1,21M","0,98%"
"04.10.2021","20,460","21,010","21,380","19,940","1,83M","-2,62%"
"01.10.2021","21,010","21,500","22,020","20,670","1,57M","-4,59%"
"30.09.2021","22,020","22,640","22,690","21,830","1,09M","-1,26%"
"29.09.2021","22,300","22,260","22,570","22,150","894,20K","0,68%"
"28.09.2021","22,150","22,500","22,580","22,010","1,25M","-3,40%"
"27.09.2021","22,930","23,110","23,330","22,890","941,42K","0,48%"
"24.09.2021","22,820","23,080","23,390","22,690","600,91K","-0,70%"
"23.09.2021","22,980","22,830","23,450","22,770","970,98K","2,04%"
"22.09.2021","22,520","22,570","22,700","22,260","605,33K","0,81%"
"21.09.2021","22,340","22,360","22,650","22,020","645,08K","0,40%"
"20.09.2021","22,250","21,830","22,420","21,290","2,20M","0,59%"
"17.09.2021","22,120","22,730","23,120","22,080","1,61M","-1,60%"
"16.09.2021","22,480","22,430","22,900","22,170","1,11M","0,13%"
"15.09.2021","22,450","23,230","23,550","22,420","1,24M","-3,85%"
"14.09.2021","23,350","23,220","23,680","22,970","1,10M","0,56%"
"13.09.2021","23,220","22,730","23,270","22,490","1,76M","1,98%"
"10.09.2021","22,770","23,290","23,330","22,340","1,25M","-1,77%"
"09.09.2021","23,180","23,000","23,370","22,570","1,31M","-0,47%"
"08.09.2021","23,290","24,700","24,710","23,150","2,43M","-8,56%"
"07.09.2021","25,470","25,430","25,590","25,000","493,39K","0,32%"
"06.09.2021","25,390","25,830","26,070","25,390","459,34K","-1,05%"
"03.09.2021","25,660","25,500","25,740","25,210","620,89K","-0,74%"
"02.09.2021","25,850","25,650","25,900","25,410","522,49K","0,82%"
"01.09.2021","25,640","25,400","25,910","25,320","590,36K","2,11%"
"31.08.2021","25,110","25,690","26,100","25,030","907,62K","-1,95%"
"30.08.2021","25,610","25,530","25,850","25,490","267,16K","0,47%"
"27.08.2021","25,490","25,390","25,720","24,790","871,95K","-0,39%"
"26.08.2021","25,590","25,640","25,860","25,360","446,00K","-0,58%"
"25.08.2021","25,740","25,820","26,500","25,640","664,98K","0,00%"
"24.08.2021","25,740","25,640","26,070","25,520","506,09K","1,26%"
"23.08.2021","25,420","25,510","25,660","24,870","471,54K","0,63%"
"20.08.2021","25,260","25,270","25,520","25,050","460,81K","-0,08%"
"19.08.2021","25,280","24,660","25,480","24,610","783,52K","0,56%"
"18.08.2021","25,140","24,420","25,380","24,330","796,00K","2,82%"
"17.08.2021","24,450","24,250","24,610","23,950","847,98K","-0,37%"
"16.08.2021","24,540","24,280","24,540","24,020","644,38K","-0,04%"
"13.08.2021","24,550","24,310","24,830","24,020","567,53K","1,07%"
"12.08.2021","24,290","24,420","24,690","24,180","942,14K","-0,98%"
"11.08.2021","24,530","24,550","24,920","24,130","794,88K","-0,89%"
"10.08.2021","24,750","24,790","24,960","24,170","999,65K","0,45%"
"09.08.2021","24,640","24,630","24,970","24,540","562,16K","0,04%"
