"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","16,080","16,420","16,530","16,050","524,59K","-2,07%"
"09.12.2021","16,420","16,550","16,785","16,410","231,21K","-0,48%"
"08.12.2021","16,500","16,520","16,865","16,350","596,74K","0,30%"
"07.12.2021","16,450","16,445","16,675","16,410","311,14K","0,58%"
"06.12.2021","16,355","15,785","16,480","15,490","805,00K","4,14%"
"03.12.2021","15,705","15,955","16,435","15,610","1,02M","-0,76%"
"02.12.2021","15,825","16,500","16,500","15,740","832,48K","-5,55%"
"01.12.2021","16,755","16,520","16,760","16,180","670,23K","1,55%"
"30.11.2021","16,500","16,850","17,075","16,455","682,23K","-2,91%"
"29.11.2021","16,995","16,610","17,190","16,500","555,39K","2,29%"
"26.11.2021","16,615","16,500","16,955","16,400","618,86K","-2,41%"
"25.11.2021","17,025","16,380","17,080","16,370","586,28K","3,91%"
"24.11.2021","16,385","16,110","16,440","16,045","480,25K","0,96%"
"23.11.2021","16,230","16,500","16,545","15,950","494,21K","-2,43%"
"22.11.2021","16,635","16,600","16,755","16,400","473,40K","0,21%"
"19.11.2021","16,600","16,680","16,750","16,270","572,87K","0,15%"
"18.11.2021","16,575","17,195","17,230","16,380","552,78K","-3,47%"
"17.11.2021","17,170","16,765","17,275","16,140","927,93K","1,75%"
"16.11.2021","16,875","16,590","17,160","16,345","1,26M","4,26%"
"15.11.2021","16,185","16,350","16,585","16,025","337,02K","-0,43%"
"12.11.2021","16,255","16,200","16,395","16,040","368,76K","0,84%"
"11.11.2021","16,120","16,305","16,305","15,640","709,02K","-0,92%"
"10.11.2021","16,270","15,855","16,380","15,735","450,69K","2,07%"
"09.11.2021","15,940","15,910","16,415","15,830","456,27K","-0,56%"
"08.11.2021","16,030","15,540","16,155","15,460","585,60K","2,17%"
"05.11.2021","15,690","16,175","16,175","15,670","371,09K","-2,09%"
"04.11.2021","16,025","15,970","16,360","15,570","833,32K","1,55%"
"03.11.2021","15,780","17,300","17,300","15,720","1,23M","-9,05%"
"02.11.2021","17,350","17,590","17,625","17,255","395,11K","-1,06%"
"01.11.2021","17,535","17,440","17,610","17,275","356,43K","1,53%"
"29.10.2021","17,270","17,240","17,490","16,910","696,36K","-0,75%"
"28.10.2021","17,400","16,780","17,400","16,735","832,96K","3,36%"
"27.10.2021","16,835","16,575","16,985","16,450","355,37K","1,14%"
"26.10.2021","16,645","16,360","16,815","16,300","518,88K","2,53%"
"25.10.2021","16,235","16,955","16,955","16,030","805,08K","-4,27%"
"22.10.2021","16,960","16,800","17,180","16,570","1,19M","1,50%"
"21.10.2021","16,710","16,490","16,720","16,180","845,85K","1,00%"
"20.10.2021","16,545","15,850","16,550","15,805","1,51M","5,85%"
"19.10.2021","15,630","14,980","15,685","14,870","1,15M","5,36%"
"18.10.2021","14,835","15,000","15,000","14,625","404,25K","-0,60%"
"15.10.2021","14,925","14,900","15,065","14,635","1,37M","0,64%"
"14.10.2021","14,830","14,760","14,890","14,680","610,28K","0,95%"
"13.10.2021","14,690","14,270","14,695","14,170","853,74K","3,52%"
"12.10.2021","14,190","13,900","14,270","13,715","538,23K","1,87%"
"11.10.2021","13,930","13,800","14,020","13,640","633,73K","-0,11%"
"08.10.2021","13,945","14,445","14,455","13,940","787,85K","-2,82%"
"07.10.2021","14,350","14,050","14,365","14,000","875,87K","2,46%"
"06.10.2021","14,005","13,960","14,110","13,695","741,53K","-0,60%"
"05.10.2021","14,090","14,000","14,195","13,860","603,86K","0,50%"
"04.10.2021","14,020","13,960","14,145","13,545","1,25M","0,86%"
"01.10.2021","13,900","13,665","14,080","13,450","1,09M","1,65%"
"30.09.2021","13,675","14,580","14,580","13,570","1,95M","-5,17%"
"29.09.2021","14,420","14,300","14,770","14,160","933,84K","2,23%"
"28.09.2021","14,105","14,860","14,890","14,105","1,12M","-4,89%"
"27.09.2021","14,830","15,070","15,070","14,815","513,67K","0,10%"
"24.09.2021","14,815","14,850","15,080","14,710","421,60K","-0,64%"
"23.09.2021","14,910","14,960","15,220","14,750","721,72K","0,91%"
"22.09.2021","14,775","15,135","15,135","14,570","784,79K","-1,04%"
"21.09.2021","14,930","14,350","15,120","14,350","821,12K","4,26%"
"20.09.2021","14,320","14,160","14,605","14,060","876,04K","-2,62%"
"17.09.2021","14,705","15,100","15,240","14,575","3,19M","-0,64%"
"16.09.2021","14,800","14,450","14,820","13,315","3,02M","2,07%"
"15.09.2021","14,500","15,370","15,395","14,500","1,25M","-4,64%"
"14.09.2021","15,205","15,450","15,450","15,125","643,34K","-1,55%"
"13.09.2021","15,445","15,220","15,590","14,990","736,87K","2,86%"
"10.09.2021","15,015","15,160","15,355","14,940","699,48K","-0,27%"
"09.09.2021","15,055","15,250","15,380","15,025","930,40K","-1,34%"
"08.09.2021","15,260","15,445","15,545","15,010","964,44K","-1,13%"
"07.09.2021","15,435","16,000","16,050","15,350","2,64M","-6,23%"
"06.09.2021","16,460","17,250","17,415","16,405","1,01M","-4,19%"
"03.09.2021","17,180","17,005","17,420","16,900","1,04M","1,72%"
"02.09.2021","16,890","17,050","17,180","16,550","440,78K","-0,62%"
"01.09.2021","16,995","17,140","17,360","16,890","429,52K","1,16%"
"31.08.2021","16,800","16,805","17,230","16,550","584,01K","0,90%"
"30.08.2021","16,650","16,880","17,175","16,500","444,23K","0,00%"
"27.08.2021","16,650","16,895","16,895","16,310","455,02K","-0,72%"
"26.08.2021","16,770","17,100","17,125","16,670","365,41K","-1,99%"
"25.08.2021","17,110","17,480","17,710","17,020","425,69K","-1,61%"
"24.08.2021","17,390","17,620","17,990","17,235","785,51K","-0,71%"
"23.08.2021","17,515","17,620","17,655","17,110","508,35K","-0,17%"
"20.08.2021","17,545","16,705","17,680","16,700","1,30M","4,59%"
"19.08.2021","16,775","16,435","16,875","16,280","584,99K","0,66%"
"18.08.2021","16,665","15,650","16,740","15,510","787,74K","6,01%"
"17.08.2021","15,720","15,560","15,760","15,180","676,44K","-0,35%"
"16.08.2021","15,775","15,700","15,845","15,520","370,41K","0,19%"
"13.08.2021","15,745","15,960","16,035","15,730","350,24K","-1,32%"
"12.08.2021","15,955","16,100","16,190","15,880","388,35K","-1,24%"
"11.08.2021","16,155","16,250","16,310","16,015","316,50K","-0,74%"
