"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.12.2021","3,7245","3,6860","3,7245","3,6590","10,05M","0,78%"
"09.12.2021","3,6955","3,7025","3,7230","3,6840","10,91M","-0,36%"
"08.12.2021","3,7090","3,7400","3,7580","3,7080","12,43M","-1,44%"
"07.12.2021","3,7630","3,7800","3,7870","3,7355","16,50M","0,01%"
"06.12.2021","3,7625","3,7100","3,7805","3,6895","18,02M","2,53%"
"03.12.2021","3,6695","3,7025","3,7060","3,6525","55,84M","-0,56%"
"02.12.2021","3,6900","3,7865","3,7975","3,6900","77,09M","-3,91%"
"01.12.2021","3,8400","3,8500","3,8790","3,7900","21,80M","-0,22%"
"30.11.2021","3,8485","3,7970","3,8663","3,7748","118,09M","0,88%"
"29.11.2021","3,8148","3,7893","3,8422","3,7584","18,57M","1,34%"
"26.11.2021","3,7642","3,7724","3,8051","3,7079","42,14M","-2,88%"
"25.11.2021","3,8759","3,8817","3,8904","3,8413","14,79M","-0,47%"
"24.11.2021","3,8942","3,8870","3,9144","3,8620","13,85M","0,19%"
"23.11.2021","3,8870","3,9313","3,9770","3,8475","70,26M","-4,37%"
"22.11.2021","4,0647","3,8774","4,0830","3,8750","63,35M","6,39%"
"19.11.2021","3,8206","3,8364","3,8596","3,7637","33,20M","0,56%"
"18.11.2021","3,7994","3,7609","3,8398","3,7556","32,10M","0,75%"
"17.11.2021","3,7710","3,7556","3,7777","3,7315","9,81M","0,41%"
"16.11.2021","3,7556","3,7637","3,8364","3,7546","45,30M","-0,22%"
"15.11.2021","3,7637","3,8133","3,8254","3,7459","11,73M","-1,30%"
"12.11.2021","3,8133","3,7888","3,8172","3,7782","10,05M","0,38%"
"11.11.2021","3,7989","3,7729","3,8071","3,7565","12,77M","0,38%"
"10.11.2021","3,7844","3,6650","3,7941","3,6646","17,97M","2,95%"
"09.11.2021","3,6761","3,6198","3,7103","3,6169","13,11M","1,54%"
"08.11.2021","3,6203","3,6361","3,6525","3,6082","13,08M","-0,17%"
"05.11.2021","3,6265","3,5341","3,6621","3,5129","22,57M","2,78%"
"04.11.2021","3,5283","3,5726","3,6203","3,4797","33,79M","-2,35%"
"03.11.2021","3,6130","3,6265","3,6304","3,5745","13,81M","-0,37%"
"02.11.2021","3,6265","3,6723","3,6742","3,6150","17,46M","-1,32%"
"01.11.2021","3,6751","3,6217","3,7021","3,6101","12,83M","1,38%"
"29.10.2021","3,6251","3,6015","3,6342","3,5764","16,10M","0,63%"
"28.10.2021","3,6024","3,6564","3,6564","3,6024","15,07M","-1,90%"
